Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-29 13:17:24.0181;848;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6336;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:24.1288;857;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.7253;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:24.5278;884;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6206;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:24.6933;894;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6546;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:24.8918;908;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6473;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:26.3256;1013;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6608;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:26.3306;1014;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6152;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:26.5295;1028;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.7742;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 13:17:27.1245;1073;b35b397fac1cf79f4a8ca646a918efae;anonymous;NULL;NULL;NULL;Closed;0;0.0130;0.0000;Running;2.8062;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 13:17:27.1264;1073;b35b397fac1cf79f4a8ca646a918efae;anonymous;NULL;NULL;NULL;Closed;0;0.0130;0.0000;Running;2.8062;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
Rest;2021-01-29 13:17:28.3520;1164;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6227;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:29.1243;1218;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6501;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 13:17:29.1333;1219;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6246;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:17:32.1663;1431;b35b397fac1cf79f4a8ca646a918efae;anonymous;ReceivingData;0.6554;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
