Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-02-02 11:35:21.3672;1;265d72803370a886282bffb9c93e907a;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:35:23.9287;19;265d72803370a886282bffb9c93e907a;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:35:24.1259;20;265d72803370a886282bffb9c93e907a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 11:35:30.6080;320;265d72803370a886282bffb9c93e907a;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:35:32.6059;432;265d72803370a886282bffb9c93e907a;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.3347;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:35:34.9499;568;265d72803370a886282bffb9c93e907a;anonymous;NULL;Closed;0;-2.6586;0.0000;Running;2.3347;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:35:34.9588;568;265d72803370a886282bffb9c93e907a;anonymous;NULL;Closed;0;-2.6586;0.0000;Running;2.3347;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:35:39.6177;845;265d72803370a886282bffb9c93e907a;anonymous;NULL;Open;1;0.0000;0.0000;Running;4.5907;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-02-02 11:35:41.5719;961;265d72803370a886282bffb9c93e907a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7943;1;(0.869 0.860 0.838 0.796 0.794 0.770 0.807 0.839 )
InputWindowChange;2021-02-02 11:35:41.5729;961;265d72803370a886282bffb9c93e907a;anonymous;NULL;Closed;1;-3.0438;0.0000;Running;4.5907;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:35:41.5739;961;265d72803370a886282bffb9c93e907a;anonymous;NULL;Closed;1;-3.0438;0.0000;Running;4.5907;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-02-02 11:35:41.8242;976;265d72803370a886282bffb9c93e907a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7491;1;(0.781 0.749 0.838 0.796 0.794 0.781 0.791 0.758 )
InputWindowChange;2021-02-02 11:35:46.6313;1260;265d72803370a886282bffb9c93e907a;anonymous;NULL;Open;2;0.0000;0.0000;Running;4.8179;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
