Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-26 09:19:14.2211;1;014ea9e4a57f5c9a1b330982d74771f3;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 09:19:16.8035;16;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 09:19:17.0494;17;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:19:52.5166;1672;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;0.8147;1;(0.739 0.786 0.765 0.766 0.815 0.716 0.718 0.726 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 09:19:52.5784;1674;014ea9e4a57f5c9a1b330982d74771f3;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-26 09:19:54.5430;1788;014ea9e4a57f5c9a1b330982d74771f3;anonymous;NULL;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;1.9879;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-26 09:19:56.3133;1885;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;0.6734;1;(0.769 0.732 0.703 0.673 0.858 0.855 0.822 0.794 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:19:56.5352;1898;014ea9e4a57f5c9a1b330982d74771f3;anonymous;NULL;NULL;NULL;NULL;Closed;0;-3.0035;0.0000;Running;1.9879;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:19:56.5412;1898;014ea9e4a57f5c9a1b330982d74771f3;anonymous;NULL;NULL;NULL;NULL;Closed;0;-3.0035;0.0000;Running;1.9879;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
MotorImagery;2021-01-26 09:19:58.1111;1992;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;0.8569;2;(0.757 0.806 0.857 0.709 0.706 0.715 0.735 0.772 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:19:59.8915;2098;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;0.6739;2;(0.769 0.800 0.787 0.742 0.744 0.712 0.674 0.743 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:20:01.5461;2196;014ea9e4a57f5c9a1b330982d74771f3;anonymous;NULL;NULL;NULL;NULL;Open;1;0.0000;0.0000;Running;1.8430;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:20:02.3170;2242;014ea9e4a57f5c9a1b330982d74771f3;anonymous;ReceivingData;0.7078;3;(0.703 0.706 0.710 0.724 0.726 0.744 0.730 0.708 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
