Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
GameDecision;2021-02-02 15:18:40.3327;3832;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;3;-5.5340;0.0000;Running;1.4710;13;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-02-02 15:18:47.4653;4348;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7220;4
Rest;2021-02-02 15:18:47.7655;4371;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6863;4
MotorImagery;2021-02-02 15:18:50.0190;4534;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7603;5
Rest;2021-02-02 15:18:50.4013;4561;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5654;5
InputWindowChange;2021-02-02 15:18:50.6586;4580;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;4;-5.5340;0.0000;Running;2.6300;13;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:18:52.4511;4700;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8051;6
Rest;2021-02-02 15:18:52.7254;4722;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7150;6
MotorImagery;2021-02-02 15:18:52.8849;4733;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7562;7
Rest;2021-02-02 15:18:53.0186;4741;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6990;7
MotorImagery;2021-02-02 15:18:53.0924;4746;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7229;8
InputWindowChange;2021-02-02 15:18:53.2665;4759;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;4;-6.9004;0.0000;Running;2.6300;13;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:18:53.2665;4759;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;4;-6.9004;0.0000;Running;2.6300;13;0.0500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
Rest;2021-02-02 15:18:53.3522;4765;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6841;8
MotorImagery;2021-02-02 15:18:59.0019;5179;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7297;9
Rest;2021-02-02 15:18:59.0966;5185;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6919;9
InputWindowChange;2021-02-02 15:19:02.9908;5464;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;5;-6.9004;0.0000;Running;1.0097;13;0.0500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:19:03.6271;5511;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7528;10
