Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-28 13:03:32.5630;1;b435cd33fa25981ebc37daa46f1535ae;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:03:35.3546;4;b435cd33fa25981ebc37daa46f1535ae;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:03:37.0286;5;b435cd33fa25981ebc37daa46f1535ae;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 13:03:58.0662;1054;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:04:00.0538;1172;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.7706;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:04:05.0571;1469;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Closed;0;0.0033;0.0000;Running;1.7706;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 13:04:05.0660;1469;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Closed;0;0.0033;0.0000;Running;1.7706;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:04:07.0634;1588;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Open;1;0.0000;0.0000;Running;1.6154;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:04:08.6816;1684;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Closed;1;-3.3830;0.0000;Running;1.6154;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 13:04:08.6875;1684;b435cd33fa25981ebc37daa46f1535ae;anonymous;NULL;Closed;1;-3.3830;0.0000;Running;1.6154;14;0.0000;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
