Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-02-02 12:58:15.4683;91;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1067;ReceivingData
Sample;2021-02-02 12:58:15.4743;92;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0822;ReceivingData
Sample;2021-02-02 12:58:15.5884;135;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0871;ReceivingData
Sample;2021-02-02 12:58:15.5914;136;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0990;ReceivingData
Sample;2021-02-02 12:58:15.5934;137;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1104;ReceivingData
Sample;2021-02-02 12:58:15.7140;183;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0854;ReceivingData
Sample;2021-02-02 12:58:15.7170;184;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0797;ReceivingData
Sample;2021-02-02 12:58:16.6612;229;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0830;ReceivingData
Sample;2021-02-02 12:58:16.7858;230;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0964;ReceivingData
Sample;2021-02-02 12:58:16.9255;239;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0913;ReceivingData
Sample;2021-02-02 12:58:16.9424;240;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1098;ReceivingData
Sample;2021-02-02 12:58:16.9574;241;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1073;ReceivingData
Sample;2021-02-02 12:58:16.9683;242;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.0991;ReceivingData
Sample;2021-02-02 12:58:16.9903;243;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1027;ReceivingData
Sample;2021-02-02 12:58:17.0112;244;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1067;ReceivingData
Sample;2021-02-02 12:58:17.0322;245;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1268;ReceivingData
Sample;2021-02-02 12:58:17.0491;246;2b14b8857ae6aa26409deb750e7448a4;anonymous;0.1430;ReceivingData
