Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-28 11:35:17.3037;1;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:35:19.8627;17;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:35:19.9406;22;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 11:35:26.8081;366;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 11:35:28.6346;475;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7388;1;(0.739 0.742 0.739 0.660 0.728 0.737 0.726 0.738 );NULL
InputWindowChange;2021-01-28 11:35:28.7871;484;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;NULL;Open;0;0.0000;0.0000;Running;3.4153;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
Rest;2021-01-28 11:35:32.0863;680;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5778;1;(0.615 0.614 0.601 0.578 0.640 0.619 0.635 0.626 );NULL
MotorImagery;2021-01-28 11:35:32.8262;724;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7377;2;(0.618 0.644 0.673 0.696 0.708 0.734 0.727 0.738 );NULL
InputWindowChange;2021-01-28 11:35:32.8262;724;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;NULL;Closed;0;-0.9585;0.0000;Running;3.4153;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 11:35:32.8282;724;9e7cc1ae49a1693350f6d08e0b88e77e;anonymous;NULL;Closed;0;-0.9585;0.0000;Running;3.4153;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
