Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
Rest;2021-01-25 15:47:21.5689;3572;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6322;3;(0.632 0.676 0.680 0.677 0.674 0.705 0.673 0.642 );NULL
MotorImagery;2021-01-25 15:47:23.8686;3901;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7441;4;(0.649 0.703 0.733 0.723 0.751 0.736 0.756 0.744 );NULL
InputWindowChange;2021-01-25 15:47:24.5608;4000;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;3;0.0000;0.0000;Running;2.0665;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
Rest;2021-01-25 15:47:24.6436;4012;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6026;4;(0.767 0.731 0.695 0.668 0.603 0.746 0.763 0.771 );NULL
InputWindowChange;2021-01-25 15:47:29.5630;4716;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;3;0.0032;0.0000;Running;2.0665;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:29.5650;4716;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;3;0.0032;0.0000;Running;2.0665;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
MotorImagery;2021-01-25 15:47:31.5464;5000;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6926;5;(0.693 0.642 0.685 0.687 0.700 0.701 0.681 0.677 );NULL
InputWindowChange;2021-01-25 15:47:31.5603;5002;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;4;0.0000;0.0000;Running;4.2569;17;0.1500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
Rest;2021-01-25 15:47:31.9164;5053;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6241;5;(0.693 0.696 0.693 0.653 0.653 0.648 0.624 0.677 );NULL
MotorImagery;2021-01-25 15:47:33.2016;5237;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6606;6;(0.679 0.694 0.691 0.661 0.657 0.658 0.705 0.681 );NULL
