Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-29 15:00:43.9838;1;89fec5ba632fa8abca853d6be2a0ec25;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 15:00:47.1484;4;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 15:00:47.1813;5;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 15:00:48.7703;101;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:00:57.0032;697;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.6520;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:00:58.6687;811;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;0;-2.3365;0.0000;Running;1.6520;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:00:58.6716;811;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;0;-2.3365;0.0000;Running;1.6520;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-29 15:01:08.9686;1521;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;1;-2.3365;0.0000;Running;1.6874;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:01:12.9624;1810;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;1;-2.3299;0.0000;Running;1.6874;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:01:12.9664;1810;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;1;-2.3299;0.0000;Running;1.6874;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:01:23.3067;2520;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;2;-2.3299;0.0000;Running;1.5077;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 15:01:24.1213;2574;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7756;1
InputWindowChange;2021-01-29 15:01:24.1232;2574;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;2;-5.5023;0.0000;Running;1.5077;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:01:24.1242;2574;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;2;-5.5023;0.0000;Running;1.5077;10;0.0500;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 15:01:24.2450;2582;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6768;1
InputWindowChange;2021-01-29 15:01:34.5637;3287;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;3;-5.5023;0.0000;Running;1.0327;10;0.0500;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:01:38.5599;3559;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;3;-5.4935;0.0000;Running;1.0327;10;0.0500;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:01:38.5609;3559;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;3;-5.4935;0.0000;Running;1.0327;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:01:48.9237;4280;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;4;-5.4935;0.0000;Running;1.1606;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 15:01:52.3339;4521;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7672;2
InputWindowChange;2021-01-29 15:01:52.3339;4521;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;4;-6.0616;0.0000;Running;1.1606;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:01:52.3369;4521;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;4;-6.0616;0.0000;Running;1.1606;10;0.1000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 15:01:52.7278;4549;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7491;2
MotorImagery;2021-01-29 15:01:52.8725;4558;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7614;3
Rest;2021-01-29 15:01:53.2353;4585;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6970;3
MotorImagery;2021-01-29 15:01:55.1740;4727;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7525;4
Rest;2021-01-29 15:01:55.2897;4735;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6871;4
MotorImagery;2021-01-29 15:01:56.4257;4817;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7799;5
Rest;2021-01-29 15:01:57.2236;4871;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7136;5
MotorImagery;2021-01-29 15:01:57.7720;4907;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7748;6
Rest;2021-01-29 15:01:57.9711;4921;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7378;6
MotorImagery;2021-01-29 15:01:58.4916;4958;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7590;7
Rest;2021-01-29 15:01:59.1549;5004;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7180;7
InputWindowChange;2021-01-29 15:02:01.7886;5193;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;5;-6.0616;0.0000;Running;2.9793;10;0.1000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:02:05.7814;5471;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;5;-6.0504;0.0000;Running;2.9793;10;0.1000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:02:05.7894;5471;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Closed;5;-6.0504;0.0000;Running;2.9793;11;0.1000;5;0.0500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 15:02:08.4526;5658;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7552;8
Rest;2021-01-29 15:02:08.8265;5685;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7456;8
MotorImagery;2021-01-29 15:02:10.1328;5773;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7565;9
Rest;2021-01-29 15:02:10.3916;5792;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7290;9
MotorImagery;2021-01-29 15:02:10.5243;5802;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7573;10
Rest;2021-01-29 15:02:11.1406;5843;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7467;10
MotorImagery;2021-01-29 15:02:14.7054;6099;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7932;11
Rest;2021-01-29 15:02:15.7314;6170;89fec5ba632fa8abca853d6be2a0ec25;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7240;11
InputWindowChange;2021-01-29 15:02:16.9547;6257;89fec5ba632fa8abca853d6be2a0ec25;anonymous;NULL;Open;6;-6.0504;0.0000;Running;2.7770;11;0.1000;5;0.0500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
