Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-28 16:06:48.3894;1;200ae232440d019dd0185cd45d5dc8f3;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 16:06:50.9615;17;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 16:06:51.1813;18;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 16:06:55.2524;173;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 16:06:57.2281;282;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.2661;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 16:06:57.7981;315;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7214;1;(0.721 0.711 0.721 0.685 0.696 0.684 0.692 0.686 );NULL
InputWindowChange;2021-01-28 16:06:57.8021;315;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Closed;0;-4.4307;0.0000;Running;1.2661;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 16:06:57.8051;315;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Closed;0;-4.4307;0.0000;Running;1.2661;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-28 16:06:57.9304;323;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6599;1;(0.721 0.711 0.721 0.697 0.660 0.684 0.692 0.686 );NULL
MotorImagery;2021-01-28 16:06:59.7224;427;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7292;2;(0.783 0.764 0.729 0.675 0.725 0.821 0.851 0.840 );NULL
Rest;2021-01-28 16:07:00.4610;471;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6465;2;(0.756 0.767 0.756 0.723 0.725 0.695 0.646 0.762 );NULL
MotorImagery;2021-01-28 16:07:01.1227;510;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7250;3;(0.748 0.725 0.704 0.764 0.689 0.687 0.708 0.717 );NULL
Rest;2021-01-28 16:07:01.7610;548;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6562;3;(0.707 0.703 0.703 0.691 0.656 0.746 0.699 0.707 );NULL
InputWindowChange;2021-01-28 16:07:04.2337;695;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Open;1;0.0000;0.0000;Running;3.9929;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 16:07:04.3015;699;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7664;4;(0.686 0.702 0.753 0.777 0.767 0.763 0.756 0.766 );NULL
InputWindowChange;2021-01-28 16:07:04.3025;699;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Closed;1;-4.9321;0.0000;Running;3.9929;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 16:07:04.3025;699;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Closed;1;-4.9321;0.0000;Running;3.9929;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-28 16:07:04.8252;730;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6556;4;(0.774 0.760 0.767 0.763 0.752 0.741 0.693 0.656 );NULL
MotorImagery;2021-01-28 16:07:07.0102;860;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7819;5;(0.738 0.783 0.796 0.806 0.782 0.715 0.710 0.706 );NULL
Rest;2021-01-28 16:07:07.6007;895;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6028;5;(0.743 0.750 0.746 0.678 0.708 0.603 0.795 0.762 );NULL
MotorImagery;2021-01-28 16:07:11.2067;1109;200ae232440d019dd0185cd45d5dc8f3;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7053;6;(0.692 0.705 0.696 0.735 0.724 0.734 0.715 0.708 );NULL
InputWindowChange;2021-01-28 16:07:11.2406;1111;200ae232440d019dd0185cd45d5dc8f3;anonymous;NULL;Open;2;0.0000;0.0000;Running;2.4060;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
