Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-29 14:38:46.0531;1;f2579b7e0379dad0a83ce31989494fb4;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:38:48.6320;18;f2579b7e0379dad0a83ce31989494fb4;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:38:48.7198;20;f2579b7e0379dad0a83ce31989494fb4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 14:38:50.8219;129;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:38:52.8021;235;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.2113;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:38:55.6218;397;f2579b7e0379dad0a83ce31989494fb4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7712;1;(0.781 0.788 0.781 0.784 0.771 0.782 0.805 0.783 );NULL
InputWindowChange;2021-01-29 14:38:55.6288;397;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Closed;0;-2.1797;0.0000;Running;2.2113;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:38:55.6308;397;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Closed;0;-2.1797;0.0000;Running;2.2113;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 14:38:56.1025;425;f2579b7e0379dad0a83ce31989494fb4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7432;1;(0.766 0.781 0.787 0.789 0.743 0.769 0.773 0.773 );NULL
InputWindowChange;2021-01-29 14:38:59.8087;643;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Open;1;0.0000;0.0000;Running;1.4063;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:39:03.0025;831;f2579b7e0379dad0a83ce31989494fb4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8283;2;(0.802 0.835 0.843 0.844 0.842 0.837 0.823 0.828 );NULL
InputWindowChange;2021-01-29 14:39:03.0035;831;f2579b7e0379dad0a83ce31989494fb4;anonymous;NULL;Closed;1;-1.8046;0.0000;Running;1.4063;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
