Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-29 09:44:50.9364;1;690802d479024a948151e19f6e827fc5;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 09:44:53.4581;118;690802d479024a948151e19f6e827fc5;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 09:44:53.5718;119;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:44:54.0548;159;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7845;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 09:44:54.1713;168;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7499;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:44:54.1853;169;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7733;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 09:44:55.2458;257;690802d479024a948151e19f6e827fc5;anonymous;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-29 09:44:55.8182;312;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7591;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:44:55.8242;313;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7741;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 09:44:55.9941;323;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7486;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:44:56.0091;324;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7775;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 09:44:56.2250;337;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7417;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:44:59.1595;517;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7927;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 09:44:59.6647;554;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7171;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 09:45:03.4926;835;690802d479024a948151e19f6e827fc5;anonymous;ReceivingData;0.7916;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 09:45:03.5246;837;690802d479024a948151e19f6e827fc5;anonymous;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;1.3831;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
