Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-28 09:04:49.0066;1;19bcd6af09a63303132ce82681c8a199;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 09:04:52.1196;11;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 09:04:52.1305;12;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 09:04:53.8103;130;19bcd6af09a63303132ce82681c8a199;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 09:04:54.3085;163;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7124;1;NULL
Rest;2021-01-28 09:04:55.3083;230;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6942;1;NULL
MotorImagery;2021-01-28 09:04:57.1365;354;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7057;2;NULL
Rest;2021-01-28 09:04:57.2392;361;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6843;2;NULL
MotorImagery;2021-01-28 09:04:59.0507;485;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7330;3;NULL
Rest;2021-01-28 09:04:59.0716;486;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6731;3;NULL
MotorImagery;2021-01-28 09:05:01.3390;632;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7521;4;NULL
Rest;2021-01-28 09:05:02.0366;680;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6838;4;NULL
MotorImagery;2021-01-28 09:05:02.2221;693;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7041;5;NULL
InputWindowChange;2021-01-28 09:05:02.3039;698;19bcd6af09a63303132ce82681c8a199;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.9577;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-01-28 09:05:02.3398;701;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6844;5;NULL
MotorImagery;2021-01-28 09:05:04.1361;802;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7236;6;NULL
Rest;2021-01-28 09:05:04.7694;828;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6967;6;NULL
MotorImagery;2021-01-28 09:05:04.8014;829;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7049;7;NULL
Rest;2021-01-28 09:05:04.8083;830;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6421;7;NULL
MotorImagery;2021-01-28 09:05:05.2731;861;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7173;8;NULL
Rest;2021-01-28 09:05:05.4277;871;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6871;8;NULL
MotorImagery;2021-01-28 09:05:05.8198;896;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7044;9;NULL
Rest;2021-01-28 09:05:06.1678;918;19bcd6af09a63303132ce82681c8a199;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6240;9;NULL
InputWindowChange;2021-01-28 09:05:06.2885;925;19bcd6af09a63303132ce82681c8a199;anonymous;NULL;Closed;0;0.0010;0.0000;Running;1.9577;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 09:05:06.2945;925;19bcd6af09a63303132ce82681c8a199;anonymous;NULL;Closed;0;0.0010;0.0000;Running;1.9577;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
