Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-29 13:35:00.6603;1;decb8d00feefe939cb29b83d86d56e5f;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 13:35:03.2235;16;decb8d00feefe939cb29b83d86d56e5f;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 13:35:03.2892;20;decb8d00feefe939cb29b83d86d56e5f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 13:35:09.6019;305;decb8d00feefe939cb29b83d86d56e5f;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:35:09.9665;325;decb8d00feefe939cb29b83d86d56e5f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7748;1;(0.652 0.681 0.720 0.745 0.751 0.752 0.753 0.775 );NULL
Rest;2021-01-29 13:35:10.4674;351;decb8d00feefe939cb29b83d86d56e5f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6140;1;(0.672 0.614 0.806 0.807 0.784 0.761 0.774 0.698 );NULL
InputWindowChange;2021-01-29 13:35:11.5858;415;decb8d00feefe939cb29b83d86d56e5f;anonymous;NULL;Open;0;0.0000;0.0000;Running;4.8559;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 13:35:11.5987;416;decb8d00feefe939cb29b83d86d56e5f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7703;2;(0.767 0.780 0.778 0.770 0.655 0.676 0.659 0.706 );NULL
InputWindowChange;2021-01-29 13:35:11.5997;416;decb8d00feefe939cb29b83d86d56e5f;anonymous;NULL;Closed;0;-4.9831;0.0000;Running;4.8559;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 13:35:11.6017;416;decb8d00feefe939cb29b83d86d56e5f;anonymous;NULL;Closed;0;-4.9831;0.0000;Running;4.8559;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
