Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 11:28:14.2868;1;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:28:20.5673;105;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 11:28:25.1220;134;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 11:28:26.7833;233;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.9446;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:28:26.7844;233;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:28:32.9955;363;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:28:39.1688;487;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;0;0.0008;0.0000;Running;1.9446;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:28:39.1768;487;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;0;0.0008;0.0000;Running;1.9446;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:28:39.1848;488;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:28:44.9056;580;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;1;0.0000;0.0000;Running;3.3003;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:28:45.4092;610;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:28:51.5991;740;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:28:57.2704;839;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;1;0.0009;0.0000;Running;3.3003;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:28:57.2733;839;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;1;0.0009;0.0000;Running;3.3003;14;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:28:57.7940;870;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:02.9616;940;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;2;0.0000;0.0000;Running;1.4060;14;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:29:03.9761;1000;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:29:10.1723;1130;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:15.3390;1199;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;2;0.0092;0.0000;Running;1.4060;14;0.0000;6;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:29:15.3410;1199;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;2;0.0092;0.0000;Running;1.4060;14;0.0000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:29:16.3692;1260;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:21.0302;1299;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;3;0.0000;0.0000;Running;4.4040;14;0.0000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:29:22.5744;1390;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:29:28.7678;1520;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:29.1247;1541;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;3;-0.5927;0.0000;Running;4.4040;14;0.0000;6;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:29:29.1307;1541;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;3;-0.5927;0.0000;Running;4.4040;14;0.0000;5;0.0500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
BCIStateUpdated;2021-01-28 11:29:34.9634;1650;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:35.4212;1677;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;4;0.0000;0.0000;Running;2.2693;14;0.0000;5;0.0500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:29:41.1479;1780;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:29:47.3653;1910;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:47.8206;1937;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;4;0.0151;0.0000;Running;2.2693;14;0.0000;5;0.0500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:29:47.8275;1937;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;4;0.0151;0.0000;Running;2.2693;14;0.0000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 11:29:53.4982;2037;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;5;0.0000;0.0000;Running;2.0103;14;0.0000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:29:53.5501;2040;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:29:59.2032;2138;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;5;-2.9806;0.0000;Running;2.0103;14;0.0000;5;0.0500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:29:59.2042;2138;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;5;-2.9806;0.0000;Running;2.0103;14;0.0000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
BCIStateUpdated;2021-01-28 11:29:59.7416;2170;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:30:05.9488;2300;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:30:11.5748;2396;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Open;6;0.0000;0.0000;Running;2.7865;14;0.0000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:30:12.1548;2430;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:30:18.0562;2543;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;6;-2.1996;0.0000;Running;2.7865;14;0.0000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:30:18.0582;2543;46ccfc3aa2a023ffe054fe52f25f7594;anonymous;NULL;Closed;6;-2.1996;0.0000;Running;2.7865;14;0.0000;3;0.1500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
