Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 14:53:12.6213;1;a1b9fee16b533f0c661cff37f9f94f60;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 14:53:15.2007;17;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 14:53:15.3279;25;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 14:53:16.2359;79;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.7815;1;(0.754 0.832 0.823 0.858 0.850 0.863 0.838 0.781 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 14:53:16.3705;87;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.6887;1;(0.768 0.760 0.689 0.858 0.850 0.863 0.838 0.781 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 14:53:32.3609;1037;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.8806;2;(0.830 0.776 0.795 0.804 0.877 0.881 0.797 0.863 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 14:53:32.8496;1066;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.6980;2;(0.885 0.884 0.838 0.799 0.756 0.698 0.857 0.841 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 14:53:34.2761;1151;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.7288;3;(0.778 0.778 0.809 0.783 0.748 0.729 0.715 0.779 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 14:53:34.3937;1158;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.6678;3;(0.778 0.778 0.809 0.783 0.748 0.729 0.702 0.668 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 14:53:35.0011;1194;a1b9fee16b533f0c661cff37f9f94f60;anonymous;ReceivingData;0.9119;4;(0.912 0.729 0.759 0.769 0.803 0.899 0.898 0.899 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
