Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
Rest;2021-01-29 11:20:46.7897;1304;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6174;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:20:53.0417;1704;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6569;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:20:54.0960;1770;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;1;0.0178;0.0000;Running;1.1922;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-29 11:20:54.5598;1801;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6330;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:20:55.5909;1872;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6606;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:20:55.5909;1872;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;1;-2.4639;0.0000;Running;1.1922;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:20:55.5919;1872;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;1;-2.4639;0.0000;Running;1.1922;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:20:55.5999;1873;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6418;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:20:55.6927;1879;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6571;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:20:55.9699;1898;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6500;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:20:57.6363;2003;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6884;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:20:58.2596;2046;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6483;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:20:58.3973;2055;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6603;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:20:58.4062;2056;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.5952;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:04.7953;2484;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6652;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:21:05.5677;2539;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6135;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:05.9617;2565;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Open;2;-2.4639;0.0000;Running;2.5120;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:21:06.4365;2597;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6653;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:21:06.4375;2597;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;2;-5.9640;0.0000;Running;2.5120;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:21:06.4375;2597;54c7c58c3331d81344d42185cbdc7e8d;anonymous;NULL;NULL;NULL;Closed;2;-5.9640;0.0000;Running;2.5120;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:21:06.4614;2598;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6354;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:21:06.8243;2624;54c7c58c3331d81344d42185cbdc7e8d;anonymous;ReceivingData;0.6572;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
