Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-02-02 11:30:54.4640;1;230677e88f526290f5b90b1c2917b680;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:30:57.0371;17;230677e88f526290f5b90b1c2917b680;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:30:57.1298;18;230677e88f526290f5b90b1c2917b680;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 11:30:58.3888;75;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:00.3508;169;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.5134;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:05.3629;446;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;0;0.0157;0.0000;Running;2.5134;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:05.3679;446;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;0;0.0157;0.0000;Running;2.5134;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:07.3613;564;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;1;0.0000;0.0000;Running;1.3312;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:12.3611;855;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;1;0.0008;0.0000;Running;1.3312;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:12.3631;855;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;1;0.0008;0.0000;Running;1.3312;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:14.3729;966;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;2;0.0000;0.0000;Running;2.4395;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:19.3741;1226;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;2;0.0016;0.0000;Running;2.4395;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:19.3761;1226;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;2;0.0016;0.0000;Running;2.4395;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:21.3801;1341;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;3;0.0000;0.0000;Running;1.1849;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:26.4035;1619;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;3;0.0183;0.0000;Running;1.1849;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:26.4045;1619;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;3;0.0183;0.0000;Running;1.1849;10;0.0000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:28.4066;1725;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;4;0.0000;0.0000;Running;2.1077;10;0.0000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:33.4199;2004;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;4;0.0111;0.0000;Running;2.1077;10;0.0000;0;0.0000;6;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:33.4238;2004;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;4;0.0111;0.0000;Running;2.1077;10;0.0000;0;0.0000;5;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:35.4227;2116;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;5;0.0000;0.0000;Running;2.8782;10;0.0000;0;0.0000;5;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:40.4365;2400;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;5;0.0163;0.0000;Running;2.8782;10;0.0000;0;0.0000;5;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:40.4375;2400;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;5;0.0163;0.0000;Running;2.8782;10;0.0000;0;0.0000;4;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:42.4345;2509;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;6;0.0000;0.0000;Running;2.3381;10;0.0000;0;0.0000;4;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:47.4489;2788;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;6;0.0147;0.0000;Running;2.3381;10;0.0000;0;0.0000;4;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-02-02 11:31:47.4509;2788;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;6;0.0147;0.0000;Running;2.3381;10;0.0000;0;0.0000;3;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:49.4382;2898;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Open;7;0.0000;0.0000;Running;3.9525;10;0.0000;0;0.0000;3;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:31:54.4452;3178;230677e88f526290f5b90b1c2917b680;anonymous;NULL;Closed;7;0.0028;0.0000;Running;3.9525;10;0.0000;0;0.0000;3;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
