Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-28 10:16:23.8445;1;f89938e868b98d3ca8d82dbde2c551dd;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:16:26.4085;16;f89938e868b98d3ca8d82dbde2c551dd;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:16:26.4564;19;f89938e868b98d3ca8d82dbde2c551dd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 10:16:31.1937;201;f89938e868b98d3ca8d82dbde2c551dd;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:16:33.1268;301;f89938e868b98d3ca8d82dbde2c551dd;anonymous;NULL;Open;0;0.0000;0.0000;Running;4.4210;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 10:16:37.4583;549;f89938e868b98d3ca8d82dbde2c551dd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7810;1;(0.806 0.781 0.716 0.820 0.816 0.792 0.789 0.828 );NULL
InputWindowChange;2021-01-28 10:16:37.4633;549;f89938e868b98d3ca8d82dbde2c551dd;anonymous;NULL;Closed;0;-0.6632;0.0000;Running;4.4210;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:16:37.4663;549;f89938e868b98d3ca8d82dbde2c551dd;anonymous;NULL;Closed;0;-0.6632;0.0000;Running;4.4210;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-28 10:16:37.7078;564;f89938e868b98d3ca8d82dbde2c551dd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6996;1;(0.806 0.781 0.775 0.772 0.763 0.700 0.789 0.828 );NULL
InputWindowChange;2021-01-28 10:16:40.1291;707;f89938e868b98d3ca8d82dbde2c551dd;anonymous;NULL;Open;1;0.0000;0.0000;Running;3.6549;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
