Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
InputWindowChange;2021-01-28 13:11:31.4900;3102;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;6;0.0011;0.0000;Running;4.6525;13;0.0000;4;0.1000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:11:31.4960;3102;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;6;0.0011;0.0000;Running;4.6525;13;0.0000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:11:33.4970;3220;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;7;0.0000;0.0000;Running;1.5552;13;0.0000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:11:38.4989;3514;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;7;0.0015;0.0000;Running;1.5552;13;0.0000;4;0.1000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:11:38.5018;3514;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;7;0.0015;0.0000;Running;1.5552;13;0.0000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:11:40.5014;3632;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;8;0.0000;0.0000;Running;1.5368;13;0.0000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:11:45.5223;3928;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;8;0.0155;0.0000;Running;1.5368;13;0.0000;4;0.1000;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:11:45.5293;3928;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;8;0.0155;0.0000;Running;1.5368;13;0.0000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:11:47.5157;4046;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;9;0.0000;0.0000;Running;4.7764;13;0.0000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:11:52.2951;4328;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;9;-0.2213;0.0000;Running;4.7764;13;0.0000;4;0.1000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:11:52.2961;4328;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;9;-0.2213;0.0000;Running;4.7764;13;0.0000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-01-28 13:11:54.5224;4460;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;10;0.0000;0.0000;Running;2.2930;13;0.0000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:11:59.5290;4755;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;10;0.0079;0.0000;Running;2.2930;13;0.0000;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:11:59.5310;4755;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;10;0.0079;0.0000;Running;2.2930;13;0.0000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:12:01.5293;4873;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;11;0.0000;0.0000;Running;2.6920;13;0.0000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:04.2316;5032;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;11;-2.2950;0.0000;Running;2.6920;13;0.0000;3;0.1500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:04.2326;5032;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;11;-2.2950;0.0000;Running;2.6920;13;0.0000;2;0.2000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-01-28 13:12:08.5422;5285;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;12;0.0000;0.0000;Running;3.0623;13;0.0000;2;0.2000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:11.6093;5464;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;12;-1.9330;0.0000;Running;3.0623;13;0.0000;2;0.2000;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:11.6093;5464;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;12;-1.9330;0.0000;Running;3.0623;13;0.0000;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-01-28 13:12:15.5502;5695;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;13;0.0000;0.0000;Running;3.3209;13;0.0000;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:20.5690;5988;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;13;0.0225;0.0000;Running;3.3209;13;0.0000;1;0.2500;0;0.4000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:20.5720;5988;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;13;0.0225;0.0000;Running;3.3209;13;0.0000;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:12:22.5574;6105;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;14;0.0000;0.0000;Running;2.4837;13;0.0000;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:25.0488;6252;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;14;-2.5113;0.0000;Running;2.4837;13;0.0000;1;0.2500;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:25.0528;6252;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;14;-2.5113;0.0000;Running;2.4837;13;0.0000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-01-28 13:12:29.5688;6518;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;15;0.0000;0.0000;Running;1.1606;13;0.0000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:34.5821;6812;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;15;0.0114;0.0000;Running;1.1606;13;0.0000;0;0.3000;0;0.4500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:34.5901;6812;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;15;0.0114;0.0000;Running;1.1606;13;0.0000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-01-28 13:12:36.5787;6929;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;16;0.0000;0.0000;Running;1.9647;13;0.0000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:12:41.5862;7222;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;16;0.0083;0.0000;Running;1.9647;13;0.0000;0;0.3000;0;0.5000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:12:41.5912;7222;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;16;0.0083;0.0000;Running;1.9647;13;0.0000;0;0.3000;0;0.5500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
