Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-28 15:05:02.2207;1;01aaceb1b05892eb5172a8af174939ef;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 15:05:04.8053;16;01aaceb1b05892eb5172a8af174939ef;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 15:05:05.7322;22;01aaceb1b05892eb5172a8af174939ef;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 15:05:08.4053;159;01aaceb1b05892eb5172a8af174939ef;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 15:05:10.3775;265;01aaceb1b05892eb5172a8af174939ef;anonymous;NULL;Open;0;0.0000;0.0000;Running;3.2496;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 15:05:10.3815;265;01aaceb1b05892eb5172a8af174939ef;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8807;1;(0.874 0.863 0.814 0.841 0.818 0.881 0.881 0.812 );NULL
InputWindowChange;2021-01-28 15:05:10.3924;265;01aaceb1b05892eb5172a8af174939ef;anonymous;NULL;Closed;0;-5.0000;0.0000;Running;3.2496;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 15:05:10.3944;265;01aaceb1b05892eb5172a8af174939ef;anonymous;NULL;Closed;0;-5.0000;0.0000;Running;3.2496;9;0.0500;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-28 15:05:10.9328;297;01aaceb1b05892eb5172a8af174939ef;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6843;1;(0.886 0.866 0.862 0.852 0.801 0.762 0.717 0.684 );NULL
MotorImagery;2021-01-28 15:05:11.7083;339;01aaceb1b05892eb5172a8af174939ef;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8358;2;(0.760 0.797 0.829 0.836 0.713 0.732 0.718 0.762 );NULL
