Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-29 14:55:32.6911;1;1537857953598619c5724519a1d63fa4;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:55:35.2055;99;1537857953598619c5724519a1d63fa4;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:55:35.3671;100;1537857953598619c5724519a1d63fa4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 14:55:37.0296;213;1537857953598619c5724519a1d63fa4;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:55:45.2706;811;1537857953598619c5724519a1d63fa4;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.6763;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:55:49.2770;1112;1537857953598619c5724519a1d63fa4;anonymous;NULL;Closed;0;0.0112;0.0000;Running;2.6763;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:55:49.2890;1112;1537857953598619c5724519a1d63fa4;anonymous;NULL;Closed;0;0.0112;0.0000;Running;2.6763;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:55:59.6315;1831;1537857953598619c5724519a1d63fa4;anonymous;NULL;Open;1;0.0112;0.0000;Running;2.7107;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:56:03.6345;2104;1537857953598619c5724519a1d63fa4;anonymous;NULL;Closed;1;0.0174;0.0000;Running;2.7107;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:56:03.6415;2104;1537857953598619c5724519a1d63fa4;anonymous;NULL;Closed;1;0.0174;0.0000;Running;2.7107;12;0.0000;0;0.0000;6;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 14:56:03.6863;2107;1537857953598619c5724519a1d63fa4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7591;1
