Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-02-02 15:12:13.4884;1;42d13dcd2289b5400104fc519d86801a;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:12:16.0107;84;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:12:16.1324;85;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 15:12:17.7785;161;42d13dcd2289b5400104fc519d86801a;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:12:26.0360;699;42d13dcd2289b5400104fc519d86801a;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.8442;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:12:27.8865;836;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7317;1;NULL
InputWindowChange;2021-02-02 15:12:27.8894;836;42d13dcd2289b5400104fc519d86801a;anonymous;NULL;Closed;0;-2.1315;0.0000;Running;2.8442;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:12:27.8905;836;42d13dcd2289b5400104fc519d86801a;anonymous;NULL;Closed;0;-2.1315;0.0000;Running;2.8442;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 15:12:28.5548;881;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5905;1;NULL
MotorImagery;2021-02-02 15:12:30.1886;997;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7471;2;NULL
Rest;2021-02-02 15:12:30.2993;1004;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6720;2;NULL
MotorImagery;2021-02-02 15:12:36.0214;1366;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7296;3;NULL
Rest;2021-02-02 15:12:36.0558;1369;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6385;3;NULL
InputWindowChange;2021-02-02 15:12:37.8001;1474;42d13dcd2289b5400104fc519d86801a;anonymous;NULL;Open;1;-2.1315;0.0000;Running;2.1570;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:12:37.9896;1486;42d13dcd2289b5400104fc519d86801a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7371;4;NULL
