Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-26 11:02:46.6788;1;4a953f89dfbd8a2618be704b9b93d770;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:02:49.2122;99;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:02:49.2621;100;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 11:02:50.9676;187;4a953f89dfbd8a2618be704b9b93d770;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:02:55.9771;461;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7003;1;NULL
Rest;2021-01-26 11:02:56.1267;469;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6916;1;NULL
InputWindowChange;2021-01-26 11:02:59.2135;673;4a953f89dfbd8a2618be704b9b93d770;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.2265;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 11:03:00.6551;772;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7037;2;NULL
InputWindowChange;2021-01-26 11:03:00.6551;772;4a953f89dfbd8a2618be704b9b93d770;anonymous;NULL;Closed;0;-2.5359;0.0000;Running;1.2265;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 11:03:00.6596;772;4a953f89dfbd8a2618be704b9b93d770;anonymous;NULL;Closed;0;-2.5359;0.0000;Running;1.2265;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-26 11:03:00.6775;773;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6972;2;NULL
MotorImagery;2021-01-26 11:03:00.7847;781;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7261;3;NULL
Rest;2021-01-26 11:03:00.9214;790;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6771;3;NULL
MotorImagery;2021-01-26 11:03:00.9323;791;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7060;4;NULL
Rest;2021-01-26 11:03:01.1757;807;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6732;4;NULL
MotorImagery;2021-01-26 11:03:04.8731;1066;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7295;5;NULL
Rest;2021-01-26 11:03:05.8949;1134;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6156;5;NULL
MotorImagery;2021-01-26 11:03:07.2919;1228;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7526;6;NULL
Rest;2021-01-26 11:03:08.2191;1292;4a953f89dfbd8a2618be704b9b93d770;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6667;6;NULL
