Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-28 11:58:19.0144;9;137bed7c100cf6330f1767ed0104d47f;anonymous;0.3831;ReceivingData
Sample;2021-01-28 11:58:19.0344;10;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4282;ReceivingData
Sample;2021-01-28 11:58:19.2358;23;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4367;ReceivingData
Sample;2021-01-28 11:58:19.2479;24;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4493;ReceivingData
Sample;2021-01-28 11:58:19.2757;25;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4598;ReceivingData
Sample;2021-01-28 11:58:19.2847;26;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4736;ReceivingData
Sample;2021-01-28 11:58:19.4223;36;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4917;ReceivingData
Sample;2021-01-28 11:58:19.4383;37;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4922;ReceivingData
Sample;2021-01-28 11:58:19.5101;42;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4575;ReceivingData
Sample;2021-01-28 11:58:19.5300;43;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4119;ReceivingData
Sample;2021-01-28 11:58:19.6637;51;137bed7c100cf6330f1767ed0104d47f;anonymous;0.3896;ReceivingData
Sample;2021-01-28 11:58:19.6677;52;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4846;ReceivingData
Sample;2021-01-28 11:58:19.7754;60;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5296;ReceivingData
Sample;2021-01-28 11:58:19.7784;61;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5209;ReceivingData
Sample;2021-01-28 11:58:19.7934;62;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5236;ReceivingData
Sample;2021-01-28 11:58:19.9101;71;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5048;ReceivingData
Sample;2021-01-28 11:58:19.9200;72;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4978;ReceivingData
Sample;2021-01-28 11:58:20.0403;79;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5100;ReceivingData
Sample;2021-01-28 11:58:20.0453;80;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5061;ReceivingData
Sample;2021-01-28 11:58:20.2030;91;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5201;ReceivingData
Sample;2021-01-28 11:58:20.2110;92;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5319;ReceivingData
Sample;2021-01-28 11:58:20.2963;98;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5188;ReceivingData
Sample;2021-01-28 11:58:20.3063;99;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5187;ReceivingData
Sample;2021-01-28 11:58:20.4150;107;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4975;ReceivingData
Sample;2021-01-28 11:58:20.4320;108;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4461;ReceivingData
Sample;2021-01-28 11:58:20.5756;119;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4904;ReceivingData
Sample;2021-01-28 11:58:20.5816;120;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5398;ReceivingData
Sample;2021-01-28 11:58:20.7023;128;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5215;ReceivingData
Sample;2021-01-28 11:58:20.7072;129;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5115;ReceivingData
Sample;2021-01-28 11:58:20.7112;130;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5016;ReceivingData
Sample;2021-01-28 11:58:20.8299;138;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5077;ReceivingData
Sample;2021-01-28 11:58:20.8359;139;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5014;ReceivingData
Sample;2021-01-28 11:58:20.9685;149;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5234;ReceivingData
Sample;2021-01-28 11:58:21.0104;150;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5194;ReceivingData
Sample;2021-01-28 11:58:21.0423;152;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5174;ReceivingData
Sample;2021-01-28 11:58:21.0453;153;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4982;ReceivingData
Sample;2021-01-28 11:58:21.1979;164;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4582;ReceivingData
Sample;2021-01-28 11:58:21.2099;165;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4363;ReceivingData
Sample;2021-01-28 11:58:21.3395;174;137bed7c100cf6330f1767ed0104d47f;anonymous;0.3942;ReceivingData
Sample;2021-01-28 11:58:21.3445;175;137bed7c100cf6330f1767ed0104d47f;anonymous;0.3940;ReceivingData
Sample;2021-01-28 11:58:21.4782;183;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4112;ReceivingData
Sample;2021-01-28 11:58:21.4981;184;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4864;ReceivingData
Sample;2021-01-28 11:58:21.5969;191;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4602;ReceivingData
Sample;2021-01-28 11:58:21.6034;192;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4564;ReceivingData
Sample;2021-01-28 11:58:21.7346;200;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4802;ReceivingData
Sample;2021-01-28 11:58:21.7396;201;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4751;ReceivingData
Sample;2021-01-28 11:58:21.7505;202;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4798;ReceivingData
Sample;2021-01-28 11:58:21.8318;207;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4954;ReceivingData
Sample;2021-01-28 11:58:21.8418;208;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5020;ReceivingData
Sample;2021-01-28 11:58:21.9581;215;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4890;ReceivingData
Sample;2021-01-28 11:58:21.9700;216;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4862;ReceivingData
Sample;2021-01-28 11:58:22.0997;225;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4865;ReceivingData
Sample;2021-01-28 11:58:22.1066;226;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4637;ReceivingData
Sample;2021-01-28 11:58:22.2333;235;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4801;ReceivingData
Sample;2021-01-28 11:58:22.2443;236;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5348;ReceivingData
Sample;2021-01-28 11:58:22.3779;247;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5625;ReceivingData
Sample;2021-01-28 11:58:22.3959;248;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5357;ReceivingData
Sample;2021-01-28 11:58:22.4886;254;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4931;ReceivingData
Sample;2021-01-28 11:58:22.5066;255;137bed7c100cf6330f1767ed0104d47f;anonymous;0.4988;ReceivingData
Sample;2021-01-28 11:58:22.5784;262;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5163;ReceivingData
Sample;2021-01-28 11:58:22.6003;263;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5609;ReceivingData
Sample;2021-01-28 11:58:22.6133;264;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5586;ReceivingData
Sample;2021-01-28 11:58:22.7340;273;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5640;ReceivingData
Sample;2021-01-28 11:58:22.7419;274;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5503;ReceivingData
Sample;2021-01-28 11:58:22.8507;283;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5573;ReceivingData
Sample;2021-01-28 11:58:22.8726;284;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5579;ReceivingData
Sample;2021-01-28 11:58:23.0069;294;137bed7c100cf6330f1767ed0104d47f;anonymous;0.5518;ReceivingData
