Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-29 09:28:09.5244;1;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 09:28:12.5550;21;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 09:28:12.6692;31;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 09:28:14.2466;221;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 09:28:16.1021;388;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7860;1;NULL
Rest;2021-01-29 09:28:16.2247;400;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7587;1;NULL
MotorImagery;2021-01-29 09:28:16.4770;426;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7733;2;NULL
Rest;2021-01-29 09:28:17.2468;509;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7083;2;NULL
MotorImagery;2021-01-29 09:28:21.3412;961;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7806;3;NULL
Rest;2021-01-29 09:28:22.3715;1077;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7383;3;NULL
InputWindowChange;2021-01-29 09:28:22.4652;1089;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.6754;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 09:28:23.3774;1191;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7824;4;NULL
Rest;2021-01-29 09:28:23.6435;1220;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7389;4;NULL
InputWindowChange;2021-01-29 09:28:25.1371;1335;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;NULL;Closed;0;-1.3143;0.0000;Running;2.6754;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 09:28:25.1431;1335;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;NULL;Closed;0;-1.3143;0.0000;Running;2.6754;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
MotorImagery;2021-01-29 09:28:26.0832;1442;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8077;5;NULL
Rest;2021-01-29 09:28:26.4602;1483;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6845;5;NULL
MotorImagery;2021-01-29 09:28:28.3797;1709;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8349;6;NULL
Rest;2021-01-29 09:28:29.9343;1903;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6882;6;NULL
MotorImagery;2021-01-29 09:28:30.5416;1978;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7853;7;NULL
Rest;2021-01-29 09:28:30.5466;1979;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6664;7;NULL
MotorImagery;2021-01-29 09:28:31.8149;2132;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8161;8;NULL
InputWindowChange;2021-01-29 09:28:34.6400;2480;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;NULL;Open;1;-1.3143;0.0000;Running;1.4707;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-01-29 09:28:36.6981;2721;ef37c31f8ab3c8cf3f91fd8750cc30a4;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7626;8;NULL
