Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-29 14:45:04.0927;1;00bc3ba682855077382025497dee7ddb;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:45:06.6580;17;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:45:06.7651;23;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 14:45:11.8953;260;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:13.8597;353;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;0;0.0000;0.0000;Running;3.1880;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:18.8618;633;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;0;0.0046;0.0000;Running;3.1880;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:18.8678;633;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;0;0.0046;0.0000;Running;3.1880;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:20.8598;751;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;1;0.0000;0.0000;Running;4.5759;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:45:23.5258;908;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7743;1;(0.757 0.784 0.795 0.794 0.810 0.802 0.777 0.774 )
Rest;2021-01-29 14:45:23.7974;924;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7374;1;(0.786 0.781 0.775 0.737 0.810 0.802 0.777 0.774 )
InputWindowChange;2021-01-29 14:45:25.8710;1047;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;1;0.0113;0.0000;Running;4.5759;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:25.8710;1047;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;1;0.0113;0.0000;Running;4.5759;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:27.8679;1162;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;2;0.0000;0.0000;Running;4.4959;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:45:29.9222;1283;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7803;2;(0.798 0.786 0.780 0.754 0.761 0.780 0.784 0.793 )
Rest;2021-01-29 14:45:30.5870;1315;00bc3ba682855077382025497dee7ddb;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7486;2;(0.816 0.805 0.805 0.789 0.749 0.799 0.827 0.832 )
InputWindowChange;2021-01-29 14:45:32.8671;1430;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;2;0.0030;0.0000;Running;4.4959;10;0.0000;0;0.0000;8;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:32.8691;1430;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;2;0.0030;0.0000;Running;4.4959;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:34.8867;1547;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;3;0.0000;0.0000;Running;4.0774;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:39.8847;1827;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;3;0.0013;0.0000;Running;4.0774;10;0.0000;0;0.0000;7;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:39.8917;1827;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;3;0.0013;0.0000;Running;4.0774;11;0.0000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:41.8957;1939;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;4;0.0000;0.0000;Running;1.6915;11;0.0000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:46.9220;2214;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;4;0.0166;0.0000;Running;1.6915;11;0.0000;0;0.0000;5;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:46.9310;2214;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;4;0.0166;0.0000;Running;1.6915;12;0.0000;0;0.0000;3;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:48.8972;2319;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Open;5;0.0000;0.0000;Running;2.2704;12;0.0000;0;0.0000;3;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:45:53.9144;2600;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;5;0.0116;0.0000;Running;2.2704;12;0.0000;0;0.0000;3;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:45:53.9194;2600;00bc3ba682855077382025497dee7ddb;anonymous;NULL;Closed;5;0.0116;0.0000;Running;2.2704;13;0.0000;0;0.0000;1;0.3000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
