Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-29 14:35:06.8624;1;2e89671b298755e490023e5b585332c0;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:35:09.4246;16;2e89671b298755e490023e5b585332c0;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:35:09.4790;17;2e89671b298755e490023e5b585332c0;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 14:35:12.8587;195;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:35:14.8166;297;2e89671b298755e490023e5b585332c0;anonymous;NULL;Open;0;0.0000;0.0000;Running;4.6983;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:35:19.8140;591;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;0;0.0010;0.0000;Running;4.6983;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:35:19.8240;591;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;0;0.0010;0.0000;Running;4.6983;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:35:21.8254;709;2e89671b298755e490023e5b585332c0;anonymous;NULL;Open;1;0.0000;0.0000;Running;2.6639;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:35:26.8386;990;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;1;0.0117;0.0000;Running;2.6639;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:35:26.8446;990;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;1;0.0117;0.0000;Running;2.6639;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:35:28.8417;1103;2e89671b298755e490023e5b585332c0;anonymous;NULL;Open;2;0.0000;0.0000;Running;4.6500;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:35:30.5913;1179;2e89671b298755e490023e5b585332c0;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8168;1;(0.817 0.771 0.763 0.765 0.780 0.804 0.817 0.809 )
InputWindowChange;2021-01-29 14:35:30.5973;1179;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;2;-3.2519;0.0000;Running;4.6500;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 14:35:30.6033;1179;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;2;-3.2519;0.0000;Running;4.6500;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-29 14:35:31.9431;1255;2e89671b298755e490023e5b585332c0;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7222;1;(0.722 0.894 0.881 0.869 0.843 0.837 0.804 0.773 )
InputWindowChange;2021-01-29 14:35:35.8476;1478;2e89671b298755e490023e5b585332c0;anonymous;NULL;Open;3;0.0000;0.0000;Running;3.8102;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 14:35:40.5045;1749;2e89671b298755e490023e5b585332c0;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7881;2;(0.788 0.785 0.812 0.835 0.833 0.813 0.803 0.788 )
InputWindowChange;2021-01-29 14:35:40.5055;1749;2e89671b298755e490023e5b585332c0;anonymous;NULL;Closed;3;-0.3403;0.0000;Running;3.8102;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
