Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-02-02 15:06:43.0415;84;4241de9119d1e4cab52c66266fc16940;anonymous;0.1744;ReceivingData
Sample;2021-02-02 15:06:43.0685;85;4241de9119d1e4cab52c66266fc16940;anonymous;0.1629;ReceivingData
Sample;2021-02-02 15:06:43.0824;86;4241de9119d1e4cab52c66266fc16940;anonymous;0.1024;ReceivingData
Sample;2021-02-02 15:06:43.1672;93;4241de9119d1e4cab52c66266fc16940;anonymous;0.0804;ReceivingData
Sample;2021-02-02 15:06:43.1832;94;4241de9119d1e4cab52c66266fc16940;anonymous;0.0607;ReceivingData
Sample;2021-02-02 15:06:43.2819;102;4241de9119d1e4cab52c66266fc16940;anonymous;0.0516;ReceivingData
Sample;2021-02-02 15:06:43.2909;103;4241de9119d1e4cab52c66266fc16940;anonymous;0.0357;ReceivingData
Sample;2021-02-02 15:06:43.4016;112;4241de9119d1e4cab52c66266fc16940;anonymous;0.0315;ReceivingData
Sample;2021-02-02 15:06:43.4185;113;4241de9119d1e4cab52c66266fc16940;anonymous;0.0309;ReceivingData
Sample;2021-02-02 15:06:43.5312;123;4241de9119d1e4cab52c66266fc16940;anonymous;0.0369;ReceivingData
Sample;2021-02-02 15:06:43.5497;124;4241de9119d1e4cab52c66266fc16940;anonymous;0.0510;ReceivingData
Sample;2021-02-02 15:06:43.6293;131;4241de9119d1e4cab52c66266fc16940;anonymous;0.0488;ReceivingData
Sample;2021-02-02 15:06:43.6452;132;4241de9119d1e4cab52c66266fc16940;anonymous;0.0464;ReceivingData
Sample;2021-02-02 15:06:43.7958;145;4241de9119d1e4cab52c66266fc16940;anonymous;0.0482;ReceivingData
Sample;2021-02-02 15:06:43.8028;146;4241de9119d1e4cab52c66266fc16940;anonymous;0.0572;ReceivingData
Sample;2021-02-02 15:06:44.0372;157;4241de9119d1e4cab52c66266fc16940;anonymous;0.0514;ReceivingData
Sample;2021-02-02 15:06:44.1170;158;4241de9119d1e4cab52c66266fc16940;anonymous;0.0409;ReceivingData
Sample;2021-02-02 15:06:44.1583;159;4241de9119d1e4cab52c66266fc16940;anonymous;0.0336;ReceivingData
Sample;2021-02-02 15:06:44.1692;160;4241de9119d1e4cab52c66266fc16940;anonymous;0.0226;ReceivingData
Sample;2021-02-02 15:06:44.1872;161;4241de9119d1e4cab52c66266fc16940;anonymous;0.0213;ReceivingData
Sample;2021-02-02 15:06:44.2251;163;4241de9119d1e4cab52c66266fc16940;anonymous;0.0218;ReceivingData
Sample;2021-02-02 15:06:44.2341;164;4241de9119d1e4cab52c66266fc16940;anonymous;0.0366;ReceivingData
Sample;2021-02-02 15:06:44.3648;168;4241de9119d1e4cab52c66266fc16940;anonymous;0.0306;ReceivingData
Sample;2021-02-02 15:06:44.3718;169;4241de9119d1e4cab52c66266fc16940;anonymous;0.0419;ReceivingData
Sample;2021-02-02 15:06:44.4037;171;4241de9119d1e4cab52c66266fc16940;anonymous;0.0417;ReceivingData
