Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-02-02 15:06:40.4482;1;4241de9119d1e4cab52c66266fc16940;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:06:42.9618;83;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:06:43.0406;84;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 15:06:44.7361;187;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:06:53.0582;732;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.2257;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:06:54.5323;840;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7868;1;NULL
Rest;2021-02-02 15:06:54.6470;849;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7083;1;NULL
InputWindowChange;2021-02-02 15:06:57.0580;1012;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;0;0.0103;0.0000;Running;2.2257;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:06:57.0660;1012;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;0;0.0103;0.0000;Running;2.2257;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-02-02 15:06:59.7631;1181;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7481;2;NULL
Rest;2021-02-02 15:06:59.8887;1189;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6673;2;NULL
MotorImagery;2021-02-02 15:07:06.2596;1597;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7542;3;NULL
Rest;2021-02-02 15:07:06.3952;1607;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7034;3;NULL
MotorImagery;2021-02-02 15:07:06.5199;1615;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7316;4;NULL
Rest;2021-02-02 15:07:06.6635;1624;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6296;4;NULL
InputWindowChange;2021-02-02 15:07:07.8879;1705;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Open;1;0.0103;0.0000;Running;2.3583;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 15:07:11.1269;1921;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7455;5;NULL
InputWindowChange;2021-02-02 15:07:11.1280;1921;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;1;-0.7299;0.0000;Running;2.3583;10;0.0000;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:07:11.1319;1921;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;1;-0.7299;0.0000;Running;2.3583;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 15:07:11.2571;1930;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6360;5;NULL
MotorImagery;2021-02-02 15:07:16.9962;2331;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7395;6;NULL
Rest;2021-02-02 15:07:17.3962;2358;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6941;6;NULL
MotorImagery;2021-02-02 15:07:17.5009;2365;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7292;7;NULL
Rest;2021-02-02 15:07:17.6654;2377;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7122;7;NULL
InputWindowChange;2021-02-02 15:07:20.5189;2556;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Open;2;-0.7299;0.0000;Running;1.0308;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:07:24.5213;2831;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;2;-0.7064;0.0000;Running;1.0308;9;0.0500;0;0.0000;9;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:07:24.5223;2831;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;2;-0.7064;0.0000;Running;1.0308;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
MotorImagery;2021-02-02 15:07:34.7604;3506;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7300;8;NULL
Rest;2021-02-02 15:07:34.7823;3507;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6682;8;NULL
InputWindowChange;2021-02-02 15:07:34.8332;3511;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Open;3;-0.7064;0.0000;Running;1.4227;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:07:38.8188;3777;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;3;-0.7053;0.0000;Running;1.4227;10;0.0500;0;0.0000;7;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:07:38.8198;3777;4241de9119d1e4cab52c66266fc16940;anonymous;NULL;Closed;3;-0.7053;0.0000;Running;1.4227;11;0.0500;0;0.0000;5;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
MotorImagery;2021-02-02 15:07:46.6489;4303;4241de9119d1e4cab52c66266fc16940;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7397;9;NULL
