Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
InputWindowChange;2021-01-29 10:51:45.2496;1405;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;3;0.0000;0.0000;Running;2.3125;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:51:45.5508;1421;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7433;4;(0.656 0.669 0.673 0.653 0.662 0.682 0.749 0.743 );NULL
InputWindowChange;2021-01-29 10:51:45.5518;1421;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;3;-4.6997;0.0000;Running;2.3125;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:51:45.5528;1421;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;3;-4.6997;0.0000;Running;2.3125;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:51:46.9465;1498;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6486;4;(0.726 0.768 0.791 0.792 0.786 0.683 0.649 0.712 );NULL
MotorImagery;2021-01-29 10:51:50.2769;1683;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6932;5;(0.655 0.675 0.681 0.682 0.685 0.705 0.722 0.693 );NULL
Rest;2021-01-29 10:51:50.6676;1705;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6420;5;(0.719 0.702 0.678 0.672 0.679 0.642 0.722 0.693 );NULL
MotorImagery;2021-01-29 10:51:51.9280;1773;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7488;6;(0.773 0.763 0.749 0.666 0.676 0.668 0.698 0.733 );NULL
InputWindowChange;2021-01-29 10:51:52.2621;1792;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;4;0.0000;0.0000;Running;1.9447;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:51:52.5635;1809;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6282;6;(0.679 0.682 0.690 0.680 0.628 0.762 0.759 0.724 );NULL
MotorImagery;2021-01-29 10:51:54.3477;1907;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7565;7;(0.760 0.736 0.756 0.693 0.726 0.747 0.770 0.761 );NULL
InputWindowChange;2021-01-29 10:51:54.3497;1907;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;4;-2.9174;0.0000;Running;1.9447;11;0.1500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:51:54.3517;1907;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;4;-2.9174;0.0000;Running;1.9447;10;0.2000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:51:55.8813;1988;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6189;7;(0.829 0.814 0.771 0.702 0.619 0.766 0.826 0.825 );NULL
InputWindowChange;2021-01-29 10:51:59.2715;2175;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;5;0.0000;0.0000;Running;3.7836;10;0.2000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:52:01.9076;2319;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6696;8;(0.664 0.670 0.667 0.667 0.699 0.671 0.685 0.664 );NULL
InputWindowChange;2021-01-29 10:52:01.9085;2319;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;5;-2.3641;0.0000;Running;3.7836;10;0.2000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:52:01.9095;2319;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;5;-2.3641;0.0000;Running;3.7836;9;0.2500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:52:02.5418;2354;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6457;8;(0.703 0.694 0.646 0.676 0.693 0.685 0.713 0.723 );NULL
