Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
InputWindowChange;2021-01-28 13:16:29.9319;3488;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;3;-4.6753;0.0000;Running;2.9339;9;0.0500;4;0.1000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:16:29.9329;3488;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;3;-4.6753;0.0000;Running;2.9339;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
InputWindowChange;2021-01-28 13:16:40.2509;4181;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;4;-4.6753;0.0000;Running;1.1587;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:16:41.3626;4254;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7213;4;NULL
Rest;2021-01-28 13:16:41.4963;4264;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7144;4;NULL
InputWindowChange;2021-01-28 13:16:44.2380;4454;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;4;-4.6728;0.0000;Running;1.1587;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:16:44.2380;4454;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;4;-4.6728;0.0000;Running;1.1587;9;0.0500;4;0.1000;2;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
InputWindowChange;2021-01-28 13:16:55.0443;5199;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;5;-4.6728;0.0000;Running;1.1673;9;0.0500;4;0.1000;2;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:16:59.0357;5473;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;5;-4.6715;0.0000;Running;1.1673;9;0.0500;4;0.1000;2;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:16:59.0417;5473;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;5;-4.6715;0.0000;Running;1.1673;10;0.0500;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:17:09.4016;6182;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;6;-4.6715;0.0000;Running;1.0254;10;0.0500;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:17:10.4064;6248;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;6;-7.6389;0.0000;Running;1.0254;10;0.0500;4;0.1000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:17:10.4074;6248;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;6;-7.6389;0.0000;Running;1.0254;10;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
InputWindowChange;2021-01-28 13:17:20.9246;6966;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;7;-7.6389;0.0000;Running;1.5303;10;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:17:24.9317;7237;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;7;-7.6222;0.0000;Running;1.5303;10;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:17:24.9357;7237;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;7;-7.6222;0.0000;Running;1.5303;11;0.0500;3;0.1500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;AccInput
InputWindowChange;2021-01-28 13:17:35.2919;7948;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;8;-7.6222;0.0000;Running;2.1447;11;0.0500;3;0.1500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:17:37.4348;8094;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;8;-9.4611;0.0000;Running;2.1447;11;0.0500;3;0.1500;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:17:37.4368;8094;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;8;-9.4611;0.0000;Running;2.1447;11;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
