Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-28 08:49:13.8712;12;37305b9089f118d33588715b65765639;anonymous;0.5434;ReceivingData
Sample;2021-01-28 08:49:13.8782;13;37305b9089f118d33588715b65765639;anonymous;0.5631;ReceivingData
Sample;2021-01-28 08:49:13.9795;19;37305b9089f118d33588715b65765639;anonymous;0.5511;ReceivingData
Sample;2021-01-28 08:49:13.9964;20;37305b9089f118d33588715b65765639;anonymous;0.6354;ReceivingData
Sample;2021-01-28 08:49:14.1002;26;37305b9089f118d33588715b65765639;anonymous;0.7074;ReceivingData
Sample;2021-01-28 08:49:14.1141;27;37305b9089f118d33588715b65765639;anonymous;0.7358;ReceivingData
Sample;2021-01-28 08:49:14.2318;34;37305b9089f118d33588715b65765639;anonymous;0.7021;ReceivingData
Sample;2021-01-28 08:49:14.2508;35;37305b9089f118d33588715b65765639;anonymous;0.6275;ReceivingData
Sample;2021-01-28 08:49:14.2657;36;37305b9089f118d33588715b65765639;anonymous;0.6115;ReceivingData
Sample;2021-01-28 08:49:14.3665;42;37305b9089f118d33588715b65765639;anonymous;0.6218;ReceivingData
Sample;2021-01-28 08:49:14.3844;43;37305b9089f118d33588715b65765639;anonymous;0.6272;ReceivingData
Sample;2021-01-28 08:49:14.5021;50;37305b9089f118d33588715b65765639;anonymous;0.5052;ReceivingData
Sample;2021-01-28 08:49:14.5200;51;37305b9089f118d33588715b65765639;anonymous;0.5041;ReceivingData
Sample;2021-01-28 08:49:14.6198;57;37305b9089f118d33588715b65765639;anonymous;0.4865;ReceivingData
Sample;2021-01-28 08:49:14.6367;58;37305b9089f118d33588715b65765639;anonymous;0.4566;ReceivingData
Sample;2021-01-28 08:49:14.7554;65;37305b9089f118d33588715b65765639;anonymous;0.4519;ReceivingData
Sample;2021-01-28 08:49:14.7729;66;37305b9089f118d33588715b65765639;anonymous;0.5042;ReceivingData
Sample;2021-01-28 08:49:14.8736;72;37305b9089f118d33588715b65765639;anonymous;0.5603;ReceivingData
Sample;2021-01-28 08:49:14.8906;73;37305b9089f118d33588715b65765639;anonymous;0.5151;ReceivingData
Sample;2021-01-28 08:49:15.0075;80;37305b9089f118d33588715b65765639;anonymous;0.5424;ReceivingData
Sample;2021-01-28 08:49:15.0245;81;37305b9089f118d33588715b65765639;anonymous;0.4120;ReceivingData
Sample;2021-01-28 08:49:15.1409;88;37305b9089f118d33588715b65765639;anonymous;0.3923;ReceivingData
Sample;2021-01-28 08:49:15.1578;89;37305b9089f118d33588715b65765639;anonymous;0.3490;ReceivingData
Sample;2021-01-28 08:49:15.2585;95;37305b9089f118d33588715b65765639;anonymous;0.3233;ReceivingData
Sample;2021-01-28 08:49:15.2755;96;37305b9089f118d33588715b65765639;anonymous;0.2987;ReceivingData
Sample;2021-01-28 08:49:15.2924;97;37305b9089f118d33588715b65765639;anonymous;0.2672;ReceivingData
Sample;2021-01-28 08:49:15.3932;103;37305b9089f118d33588715b65765639;anonymous;0.2140;ReceivingData
Sample;2021-01-28 08:49:15.4101;104;37305b9089f118d33588715b65765639;anonymous;0.2152;ReceivingData
Sample;2021-01-28 08:49:15.5607;113;37305b9089f118d33588715b65765639;anonymous;0.2066;ReceivingData
Sample;2021-01-28 08:49:15.5777;114;37305b9089f118d33588715b65765639;anonymous;0.1813;ReceivingData
Sample;2021-01-28 08:49:15.6465;118;37305b9089f118d33588715b65765639;anonymous;0.1971;ReceivingData
Sample;2021-01-28 08:49:15.6625;119;37305b9089f118d33588715b65765639;anonymous;0.2213;ReceivingData
Sample;2021-01-28 08:49:15.7632;125;37305b9089f118d33588715b65765639;anonymous;0.2565;ReceivingData
Sample;2021-01-28 08:49:15.7801;126;37305b9089f118d33588715b65765639;anonymous;0.2616;ReceivingData
Sample;2021-01-28 08:49:15.9158;134;37305b9089f118d33588715b65765639;anonymous;0.2492;ReceivingData
Sample;2021-01-28 08:49:15.9307;135;37305b9089f118d33588715b65765639;anonymous;0.2663;ReceivingData
Sample;2021-01-28 08:49:16.0325;141;37305b9089f118d33588715b65765639;anonymous;0.3084;ReceivingData
Sample;2021-01-28 08:49:16.0494;142;37305b9089f118d33588715b65765639;anonymous;0.3549;ReceivingData
Sample;2021-01-28 08:49:16.1671;149;37305b9089f118d33588715b65765639;anonymous;0.3855;ReceivingData
Sample;2021-01-28 08:49:16.1851;150;37305b9089f118d33588715b65765639;anonymous;0.3923;ReceivingData
Sample;2021-01-28 08:49:16.2010;151;37305b9089f118d33588715b65765639;anonymous;0.4214;ReceivingData
Sample;2021-01-28 08:49:16.2848;156;37305b9089f118d33588715b65765639;anonymous;0.5205;ReceivingData
