Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 08:49:10.7222;1;37305b9089f118d33588715b65765639;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 08:49:13.8506;11;37305b9089f118d33588715b65765639;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 08:49:13.8702;12;37305b9089f118d33588715b65765639;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:22.8505;412;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.7848;1;(0.753 0.726 0.747 0.780 0.779 0.801 0.785 0.724 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:23.3198;438;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6409;1;(0.756 0.760 0.760 0.766 0.766 0.721 0.641 0.789 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:25.0020;534;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.9042;2;(0.834 0.863 0.896 0.904 0.707 0.761 0.776 0.825 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:27.0308;643;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6904;2;(0.745 0.762 0.722 0.719 0.711 0.690 0.810 0.807 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:27.5582;674;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.7074;3;(0.721 0.721 0.741 0.764 0.717 0.707 0.717 0.722 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:27.6718;681;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6765;3;(0.721 0.721 0.741 0.764 0.717 0.707 0.677 0.722 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:31.1232;884;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.7437;4;(0.744 0.704 0.703 0.712 0.708 0.716 0.702 0.751 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:31.1361;885;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6847;4;(0.744 0.685 0.703 0.712 0.708 0.716 0.702 0.751 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:32.0357;938;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.7942;5;(0.794 0.735 0.722 0.710 0.742 0.781 0.787 0.794 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:33.6686;1033;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6992;5;(0.753 0.751 0.750 0.699 0.874 0.826 0.809 0.788 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 08:49:44.8958;1664;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.7363;6;(0.807 0.810 0.809 0.818 0.778 0.750 0.736 0.798 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-28 08:49:44.9147;1665;37305b9089f118d33588715b65765639;anonymous;ReceivingData;0.6889;6;(0.807 0.810 0.809 0.818 0.778 0.750 0.736 0.689 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
