Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-29 15:05:48.0236;1;bbba57d6f02827cba6c09ea4080ca14e;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 15:05:50.6356;7;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 15:05:50.7641;17;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 15:05:52.3441;129;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:00.5934;726;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.6241;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:02.1889;833;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;0;-2.3747;0.0000;Running;1.6241;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:06:02.1929;833;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;0;-2.3747;0.0000;Running;1.6241;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-29 15:06:12.4134;1496;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;1;-2.3747;0.0000;Running;1.7039;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:14.1143;1612;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;1;-4.6554;0.0000;Running;1.7039;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:06:14.1194;1612;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;1;-4.6554;0.0000;Running;1.7039;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-29 15:06:24.3249;2307;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;2;-4.6554;0.0000;Running;2.8439;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:28.3080;2580;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;2;-4.6547;0.0000;Running;2.8439;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:06:28.3170;2580;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;2;-4.6547;0.0000;Running;2.8439;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:06:39.4939;3354;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;3;-4.6547;0.0000;Running;1.4234;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:43.4918;3631;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;3;-4.6388;0.0000;Running;1.4234;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:06:43.4997;3631;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;3;-4.6388;0.0000;Running;1.4234;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:06:53.8237;4345;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;4;-4.6388;0.0000;Running;2.3691;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:06:56.1960;4503;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;4;-6.2523;0.0000;Running;2.3691;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:06:56.1960;4503;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;4;-6.2523;0.0000;Running;2.3691;14;0.0000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-29 15:07:06.0813;5184;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;5;-6.2523;0.0000;Running;2.6039;14;0.0000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:07:10.0655;5462;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;5;-6.2463;0.0000;Running;2.6039;14;0.0000;3;0.1500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:07:10.0665;5462;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;5;-6.2463;0.0000;Running;2.6039;14;0.0000;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:07:21.2394;6230;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;6;-6.2463;0.0000;Running;2.6742;14;0.0000;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 15:07:23.4451;6384;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7649;1
InputWindowChange;2021-01-29 15:07:23.4501;6384;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;6;-8.0302;0.0000;Running;2.6742;14;0.0000;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:07:23.4511;6384;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;6;-8.0302;0.0000;Running;2.6742;13;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 15:07:23.5556;6391;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7348;1
InputWindowChange;2021-01-29 15:07:33.4560;7076;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;7;-8.0302;0.0000;Running;2.6077;13;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 15:07:34.2716;7135;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7552;2
Rest;2021-01-29 15:07:34.2955;7136;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7395;2
InputWindowChange;2021-01-29 15:07:36.0576;7261;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;7;-9.4189;0.0000;Running;2.6077;13;0.0500;3;0.1500;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:07:36.0586;7261;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;7;-9.4189;0.0000;Running;2.6077;13;0.0500;2;0.2000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-29 15:07:45.5986;7930;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;8;-9.4189;0.0000;Running;1.2489;13;0.0500;2;0.2000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:07:49.5935;8206;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;8;-9.4148;0.0000;Running;1.2489;13;0.0500;2;0.2000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:07:49.5945;8206;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;8;-9.4148;0.0000;Running;1.2489;13;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 15:07:56.8987;8715;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7549;3
Rest;2021-01-29 15:07:57.1326;8731;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7310;3
MotorImagery;2021-01-29 15:07:57.3001;8743;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7559;4
Rest;2021-01-29 15:07:57.6611;8766;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7475;4
InputWindowChange;2021-01-29 15:08:00.3954;8962;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;9;-9.4148;0.0000;Running;2.9566;13;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 15:08:04.3956;9235;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;9;-9.4060;0.0000;Running;2.9566;13;0.0500;2;0.2000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 15:08:04.3976;9235;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Closed;9;-9.4060;0.0000;Running;2.9566;13;0.0500;2;0.2000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 15:08:15.2177;9988;bbba57d6f02827cba6c09ea4080ca14e;anonymous;NULL;Open;10;-9.4060;0.0000;Running;2.6406;13;0.0500;2;0.2000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 15:08:16.1921;10055;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7956;5
Rest;2021-01-29 15:08:16.7186;10091;bbba57d6f02827cba6c09ea4080ca14e;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7446;5
