Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-29 10:01:27.3754;1;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:01:29.9316;19;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:01:29.9566;21;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:01:33.6709;242;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.8102;1;(0.776 0.823 0.806 0.788 0.797 0.812 0.817 0.810 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:01:34.3083;280;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.7274;1;(0.870 0.811 0.727 0.830 0.827 0.860 0.861 0.859 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:01:40.4468;642;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.9036;2;(0.904 0.812 0.847 0.907 0.922 0.924 0.917 0.906 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:01:42.8574;785;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.7557;2;(0.756 0.858 0.860 0.852 0.803 0.809 0.797 0.778 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:01:43.3974;817;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.8993;3;(0.859 0.891 0.899 0.770 0.810 0.839 0.856 0.861 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:01:44.3908;876;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.6281;3;(0.876 0.822 0.628 0.912 0.915 0.900 0.902 0.891 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:01:46.5643;1005;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.8418;4;(0.809 0.826 0.813 0.799 0.800 0.827 0.842 0.798 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:01:47.8414;1081;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.7480;4;(0.892 0.827 0.801 0.748 0.901 0.913 0.919 0.915 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:01:49.5081;1180;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.8691;5;(0.807 0.777 0.773 0.811 0.824 0.837 0.851 0.869 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:01:50.9169;1264;fc1abd7ff2867cc72b00dc680fbf5b47;anonymous;ReceivingData;0.7304;5;(0.871 0.883 0.892 0.885 0.899 0.916 0.801 0.730 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
