Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-28 10:04:58.3174;1;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:05:00.8936;17;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:05:00.9115;18;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 10:06:14.5046;4243;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:16.4856;4360;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;0;0.0000;0.0000;Running;3.1221;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:19.6118;4545;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;0;-1.8735;0.0000;Running;3.1221;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:06:19.6188;4545;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;0;-1.8735;0.0000;Running;3.1221;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:23.4858;4774;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;1;0.0000;0.0000;Running;3.3453;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:28.4964;5069;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;1;0.0119;0.0000;Running;3.3453;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:06:28.4994;5069;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;1;0.0119;0.0000;Running;3.3453;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:30.4881;5186;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;2;0.0000;0.0000;Running;3.8350;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:35.4976;5483;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;2;0.0126;0.0000;Running;3.8350;11;0.0000;5;0.0500;2;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:06:35.4996;5483;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;2;0.0126;0.0000;Running;3.8350;12;0.0000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:37.4875;5600;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;3;0.0000;0.0000;Running;4.4418;12;0.0000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 10:06:40.4748;5777;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7645;1;(0.714 0.703 0.739 0.754 0.769 0.725 0.755 0.764 )
InputWindowChange;2021-01-28 10:06:40.4768;5777;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;3;-2.0164;0.0000;Running;4.4418;12;0.0000;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:06:40.4768;5777;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;3;-2.0164;0.0000;Running;4.4418;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-28 10:06:40.5915;5784;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6877;1;(0.720 0.688 0.739 0.754 0.769 0.725 0.755 0.764 )
InputWindowChange;2021-01-28 10:06:44.4964;6015;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;4;0.0000;0.0000;Running;3.5677;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:06:48.0707;6224;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;4;-1.4230;0.0000;Running;3.5677;11;0.0500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-28 10:06:48.0707;6224;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Closed;4;-1.4230;0.0000;Running;3.5677;11;0.0500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
MotorImagery;2021-01-28 10:06:48.1056;6226;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7258;2;(0.713 0.726 0.737 0.767 0.740 0.721 0.726 0.742 )
Rest;2021-01-28 10:06:48.9015;6273;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5677;2;(0.769 0.764 0.746 0.725 0.568 0.807 0.802 0.772 )
InputWindowChange;2021-01-28 10:06:51.5080;6428;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;NULL;Open;5;0.0000;0.0000;Running;2.0566;11;0.0500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-28 10:06:52.3388;6477;1e2a8863e62ae53e28b99122ee2c5ad1;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7863;3;(0.803 0.806 0.780 0.784 0.798 0.786 0.737 0.767 )
