Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-26 11:20:53.6999;1;a0bff34455bb0ec4d60d6816cea247fd;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:20:56.2669;17;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:20:56.3986;25;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 11:21:03.1848;317;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:21:05.1392;413;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;0;0.0000;0.0000;Running;4.0557;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:21:08.1540;583;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8660;1;(0.870 0.869 0.864 0.862 0.866 0.798 0.822 0.850 );NULL
Rest;2021-01-26 11:21:08.6634;613;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6983;1;(0.824 0.812 0.787 0.776 0.760 0.698 0.845 0.829 );NULL
InputWindowChange;2021-01-26 11:21:10.1388;700;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;0;0.0042;0.0000;Running;4.0557;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:10.1428;700;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;0;0.0042;0.0000;Running;4.0557;10;0.0000;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;RejInput
InputWindowChange;2021-01-26 11:21:12.1477;817;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;1;0.0000;0.0000;Running;2.3251;10;0.0000;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:21:13.9164;922;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8220;2;(0.741 0.780 0.800 0.810 0.818 0.822 0.708 0.707 );NULL
InputWindowChange;2021-01-26 11:21:13.9164;922;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;1;-3.2291;0.0000;Running;2.3251;10;0.0000;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:13.9174;922;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;1;-3.2291;0.0000;Running;2.3251;9;0.0500;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-26 11:21:14.6971;968;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6765;2;(0.749 0.715 0.676 0.800 0.796 0.761 0.751 0.752 );NULL
InputWindowChange;2021-01-26 11:21:19.1659;1230;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;2;0.0000;0.0000;Running;3.2826;9;0.0500;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:21:21.4584;1366;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8458;3;(0.822 0.840 0.862 0.846 0.734 0.779 0.800 0.831 );NULL
Rest;2021-01-26 11:21:22.0827;1396;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6846;3;(0.815 0.818 0.800 0.779 0.740 0.685 0.816 0.808 );NULL
InputWindowChange;2021-01-26 11:21:22.4522;1408;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;2;-1.7089;0.0000;Running;3.2826;9;0.0500;6;0.0000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:22.4532;1408;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;2;-1.7089;0.0000;Running;3.2826;9;0.0500;5;0.0500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
InputWindowChange;2021-01-26 11:21:26.1702;1623;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;3;0.0000;0.0000;Running;3.2634;9;0.0500;5;0.0500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:21:29.0171;1788;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8751;4;(0.869 0.875 0.701 0.778 0.866 0.878 0.886 0.884 );NULL
InputWindowChange;2021-01-26 11:21:29.4382;1813;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;3;-1.7305;0.0000;Running;3.2634;9;0.0500;5;0.0500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:29.4392;1813;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;3;-1.7305;0.0000;Running;3.2634;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
Rest;2021-01-26 11:21:29.6506;1825;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6927;4;(0.800 0.790 0.787 0.702 0.693 0.868 0.860 0.836 );NULL
InputWindowChange;2021-01-26 11:21:33.1712;2031;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;4;0.0000;0.0000;Running;4.6321;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:21:37.8042;2302;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8328;5;(0.846 0.846 0.852 0.831 0.833 0.763 0.817 0.840 );NULL
InputWindowChange;2021-01-26 11:21:37.8171;2303;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;4;-0.3528;0.0000;Running;4.6321;9;0.0500;4;0.1000;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:37.8171;2303;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;4;-0.3528;0.0000;Running;4.6321;9;0.0500;3;0.1500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;NULL;FabInput
Rest;2021-01-26 11:21:38.3143;2332;a0bff34455bb0ec4d60d6816cea247fd;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6564;5;(0.743 0.729 0.764 0.734 0.656 0.794 0.776 0.760 );NULL
InputWindowChange;2021-01-26 11:21:40.1810;2441;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;5;0.0000;0.0000;Running;2.4191;9;0.0500;3;0.1500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:21:45.1937;2734;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;5;0.0100;0.0000;Running;2.4191;9;0.0500;3;0.1500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:21:45.2052;2734;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;5;0.0100;0.0000;Running;2.4191;10;0.0500;3;0.1500;1;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;NULL;AccInput
InputWindowChange;2021-01-26 11:21:47.1821;2850;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Open;6;0.0000;0.0000;Running;2.6476;10;0.0500;3;0.1500;1;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:21:52.1817;3144;a0bff34455bb0ec4d60d6816cea247fd;anonymous;NULL;Closed;6;0.0007;0.0000;Running;2.6476;10;0.0500;3;0.1500;1;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
