Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-28 10:21:26.1999;1;1012594146ba1f4bf7262b690795213d;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:21:28.7413;20;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 10:21:28.8420;28;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 10:21:30.4536;149;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:21:38.6407;780;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.7242;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:21:42.6338;1073;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;0;0.0025;0.0000;Running;1.7242;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 10:21:42.6378;1073;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;0;0.0025;0.0000;Running;1.7242;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-28 10:21:53.4886;1826;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Open;1;0.0025;0.0000;Running;1.4860;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 10:21:55.4111;1960;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7022;1
InputWindowChange;2021-01-28 10:21:55.4111;1960;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;1;-2.0549;0.0000;Running;1.4860;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 10:21:55.4131;1960;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;1;-2.0549;0.0000;Running;1.4860;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-28 10:21:55.6614;1979;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6845;1
MotorImagery;2021-01-28 10:22:00.9283;2351;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7317;2
Rest;2021-01-28 10:22:01.0380;2359;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6872;2
InputWindowChange;2021-01-28 10:22:05.5444;2679;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Open;2;-2.0549;0.0000;Running;2.1622;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 10:22:08.2081;2871;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7127;3
InputWindowChange;2021-01-28 10:22:08.2091;2871;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;2;-3.3811;0.0000;Running;2.1622;19;0.0500;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 10:22:08.2101;2871;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;2;-3.3811;0.0000;Running;2.1622;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-28 10:22:08.3457;2878;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6464;3
MotorImagery;2021-01-28 10:22:08.5910;2895;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7053;4
Rest;2021-01-28 10:22:08.7107;2904;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6974;4
MotorImagery;2021-01-28 10:22:15.1113;3368;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7311;5
Rest;2021-01-28 10:22:15.2121;3376;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4835;5
InputWindowChange;2021-01-28 10:22:17.7620;3554;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Open;3;-3.3811;0.0000;Running;2.7644;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 10:22:21.7442;3846;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;3;-3.3768;0.0000;Running;2.7644;18;0.1000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 10:22:21.7452;3846;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;3;-3.3768;0.0000;Running;2.7644;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-28 10:22:32.9283;4662;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Open;4;-3.3768;0.0000;Running;2.1419;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 10:22:35.1384;4826;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7149;6
InputWindowChange;2021-01-28 10:22:35.1384;4826;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;4;-5.1448;0.0000;Running;2.1419;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 10:22:35.1384;4826;1012594146ba1f4bf7262b690795213d;anonymous;NULL;Closed;4;-5.1448;0.0000;Running;2.1419;17;0.1500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-28 10:22:35.1614;4827;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6931;6
MotorImagery;2021-01-28 10:22:35.2721;4835;1012594146ba1f4bf7262b690795213d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7193;7
