Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-02-02 11:23:38.3753;1;5cc308cb973fb1d574e08fc994aa771a;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:23:41.7247;8;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 11:23:41.7681;9;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-02-02 11:23:59.5755;730;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingData;0.7850;1;(0.848 0.825 0.785 0.754 0.801 0.812 0.771 0.783 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-02-02 11:23:59.6239;733;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingData;0.6790;1;(0.848 0.825 0.785 0.766 0.770 0.679 0.771 0.783 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 11:24:27.5710;2242;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:24:29.5367;2352;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;2.8315;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:24:32.3897;2510;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;0;-2.1542;0.0000;Running;2.8315;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-02-02 11:24:32.4017;2510;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;0;-2.1542;0.0000;Running;2.8315;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
MotorImagery;2021-02-02 11:24:33.4004;2564;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingData;0.8152;2;(0.839 0.847 0.849 0.855 0.837 0.855 0.815 0.756 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-02-02 11:24:33.6777;2579;5cc308cb973fb1d574e08fc994aa771a;anonymous;ReceivingData;0.7338;2;(0.815 0.785 0.757 0.734 0.837 0.855 0.815 0.832 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-02-02 11:24:36.5471;2738;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Open;1;0.0000;0.0000;Running;3.3794;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:24:39.9327;2926;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;1;-1.6132;0.0000;Running;3.3794;14;0.0000;5;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-02-02 11:24:39.9327;2926;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;1;-1.6132;0.0000;Running;3.3794;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-02-02 11:24:43.5549;3126;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Open;2;0.0000;0.0000;Running;4.3653;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:24:48.5582;3412;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;2;0.0039;0.0000;Running;4.3653;14;0.0000;4;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-02-02 11:24:48.5612;3412;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;2;0.0039;0.0000;Running;4.3653;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-02-02 11:24:50.5659;3525;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Open;3;0.0000;0.0000;Running;1.3024;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:24:55.5722;3817;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;3;0.0071;0.0000;Running;1.3024;14;0.0000;4;0.1000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-02-02 11:24:55.5742;3817;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;3;0.0071;0.0000;Running;1.3024;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
InputWindowChange;2021-02-02 11:24:57.5771;3934;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Open;4;0.0000;0.0000;Running;3.1760;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-02-02 11:25:02.5906;4224;5cc308cb973fb1d574e08fc994aa771a;anonymous;NULL;NULL;NULL;NULL;Closed;4;0.0104;0.0000;Running;3.1760;14;0.0000;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
