Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-29 13:07:06.3833;97;998ef7a321128d5da275c7151f90d617;anonymous;0.2517;ReceivingData
Sample;2021-01-29 13:07:06.3943;98;998ef7a321128d5da275c7151f90d617;anonymous;0.2624;ReceivingData
Sample;2021-01-29 13:07:06.5060;107;998ef7a321128d5da275c7151f90d617;anonymous;0.2215;ReceivingData
Sample;2021-01-29 13:07:06.5968;108;998ef7a321128d5da275c7151f90d617;anonymous;0.2058;ReceivingData
Sample;2021-01-29 13:07:06.6038;109;998ef7a321128d5da275c7151f90d617;anonymous;0.2539;ReceivingData
Sample;2021-01-29 13:07:06.7334;114;998ef7a321128d5da275c7151f90d617;anonymous;0.2896;ReceivingData
Sample;2021-01-29 13:07:06.7484;115;998ef7a321128d5da275c7151f90d617;anonymous;0.3294;ReceivingData
Sample;2021-01-29 13:07:06.7614;116;998ef7a321128d5da275c7151f90d617;anonymous;0.2838;ReceivingData
Sample;2021-01-29 13:07:06.7683;117;998ef7a321128d5da275c7151f90d617;anonymous;0.2947;ReceivingData
Sample;2021-01-29 13:07:06.8850;123;998ef7a321128d5da275c7151f90d617;anonymous;0.2990;ReceivingData
Sample;2021-01-29 13:07:06.8930;124;998ef7a321128d5da275c7151f90d617;anonymous;0.3158;ReceivingData
Sample;2021-01-29 13:07:07.0137;135;998ef7a321128d5da275c7151f90d617;anonymous;0.3346;ReceivingData
Sample;2021-01-29 13:07:07.0346;136;998ef7a321128d5da275c7151f90d617;anonymous;0.3703;ReceivingData
Sample;2021-01-29 13:07:07.1274;144;998ef7a321128d5da275c7151f90d617;anonymous;0.3629;ReceivingData
Sample;2021-01-29 13:07:07.1354;145;998ef7a321128d5da275c7151f90d617;anonymous;0.3356;ReceivingData
Sample;2021-01-29 13:07:07.2820;159;998ef7a321128d5da275c7151f90d617;anonymous;0.4094;ReceivingData
Sample;2021-01-29 13:07:07.2880;160;998ef7a321128d5da275c7151f90d617;anonymous;0.4161;ReceivingData
Sample;2021-01-29 13:07:07.3997;169;998ef7a321128d5da275c7151f90d617;anonymous;0.4075;ReceivingData
Sample;2021-01-29 13:07:07.4046;170;998ef7a321128d5da275c7151f90d617;anonymous;0.4520;ReceivingData
Sample;2021-01-29 13:07:07.5144;179;998ef7a321128d5da275c7151f90d617;anonymous;0.4820;ReceivingData
Sample;2021-01-29 13:07:07.5263;180;998ef7a321128d5da275c7151f90d617;anonymous;0.5072;ReceivingData
Sample;2021-01-29 13:07:07.5333;181;998ef7a321128d5da275c7151f90d617;anonymous;0.5196;ReceivingData
Sample;2021-01-29 13:07:07.6477;192;998ef7a321128d5da275c7151f90d617;anonymous;0.5764;ReceivingData
Sample;2021-01-29 13:07:07.6607;193;998ef7a321128d5da275c7151f90d617;anonymous;0.5911;ReceivingData
Sample;2021-01-29 13:07:07.7565;202;998ef7a321128d5da275c7151f90d617;anonymous;0.6260;ReceivingData
Sample;2021-01-29 13:07:07.7655;203;998ef7a321128d5da275c7151f90d617;anonymous;0.6363;ReceivingData
Sample;2021-01-29 13:07:07.9286;220;998ef7a321128d5da275c7151f90d617;anonymous;0.6987;ReceivingData
Sample;2021-01-29 13:07:07.9530;221;998ef7a321128d5da275c7151f90d617;anonymous;0.6271;ReceivingData
Sample;2021-01-29 13:07:08.0128;227;998ef7a321128d5da275c7151f90d617;anonymous;0.6496;ReceivingData
Sample;2021-01-29 13:07:08.0208;228;998ef7a321128d5da275c7151f90d617;anonymous;0.6512;ReceivingData
Sample;2021-01-29 13:07:08.1355;240;998ef7a321128d5da275c7151f90d617;anonymous;0.6510;ReceivingData
Sample;2021-01-29 13:07:08.1475;241;998ef7a321128d5da275c7151f90d617;anonymous;0.6317;ReceivingData
Sample;2021-01-29 13:07:08.3101;257;998ef7a321128d5da275c7151f90d617;anonymous;0.6385;ReceivingData
Sample;2021-01-29 13:07:08.3180;258;998ef7a321128d5da275c7151f90d617;anonymous;0.6181;ReceivingData
Sample;2021-01-29 13:07:08.4281;259;998ef7a321128d5da275c7151f90d617;anonymous;0.5873;ReceivingData
Sample;2021-01-29 13:07:08.4351;260;998ef7a321128d5da275c7151f90d617;anonymous;0.5916;ReceivingData
Sample;2021-01-29 13:07:08.4381;261;998ef7a321128d5da275c7151f90d617;anonymous;0.5926;ReceivingData
Sample;2021-01-29 13:07:08.5543;269;998ef7a321128d5da275c7151f90d617;anonymous;0.6428;ReceivingData
Sample;2021-01-29 13:07:08.5603;270;998ef7a321128d5da275c7151f90d617;anonymous;0.5575;ReceivingData
Sample;2021-01-29 13:07:08.7249;282;998ef7a321128d5da275c7151f90d617;anonymous;0.4833;ReceivingData
Sample;2021-01-29 13:07:08.7358;283;998ef7a321128d5da275c7151f90d617;anonymous;0.4568;ReceivingData
Sample;2021-01-29 13:07:08.7788;285;998ef7a321128d5da275c7151f90d617;anonymous;0.4023;ReceivingData
Sample;2021-01-29 13:07:08.7947;286;998ef7a321128d5da275c7151f90d617;anonymous;0.4082;ReceivingData
Sample;2021-01-29 13:07:08.9346;295;998ef7a321128d5da275c7151f90d617;anonymous;0.3872;ReceivingData
Sample;2021-01-29 13:07:08.9625;296;998ef7a321128d5da275c7151f90d617;anonymous;0.3781;ReceivingData
Sample;2021-01-29 13:07:09.0353;301;998ef7a321128d5da275c7151f90d617;anonymous;0.3740;ReceivingData
Sample;2021-01-29 13:07:09.0523;302;998ef7a321128d5da275c7151f90d617;anonymous;0.3464;ReceivingData
Sample;2021-01-29 13:07:09.2178;312;998ef7a321128d5da275c7151f90d617;anonymous;0.3298;ReceivingData
Sample;2021-01-29 13:07:09.2308;313;998ef7a321128d5da275c7151f90d617;anonymous;0.3078;ReceivingData
