Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-29 10:57:48.3438;1;d3bada17a59a5c0b578608575472a2de;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:57:50.9218;17;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:57:51.1153;18;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 10:57:56.7574;280;d3bada17a59a5c0b578608575472a2de;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 10:57:58.7332;384;d3bada17a59a5c0b578608575472a2de;anonymous;NULL;Open;0;0.0000;0.0000;Running;3.2421;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:57:59.1650;408;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8725;1;(0.874 0.881 0.872 0.741 0.779 0.794 0.832 0.856 );NULL
InputWindowChange;2021-01-29 10:57:59.1680;408;d3bada17a59a5c0b578608575472a2de;anonymous;NULL;Closed;0;-4.5663;0.0000;Running;3.2421;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:57:59.1750;408;d3bada17a59a5c0b578608575472a2de;anonymous;NULL;Closed;0;-4.5663;0.0000;Running;3.2421;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:57:59.9375;450;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6407;1;(0.758 0.753 0.734 0.761 0.709 0.685 0.641 0.782 );NULL
MotorImagery;2021-01-29 10:58:02.8607;616;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7277;2;(0.679 0.760 0.789 0.775 0.722 0.710 0.728 0.668 );NULL
Rest;2021-01-29 10:58:02.9810;623;d3bada17a59a5c0b578608575472a2de;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6204;2;(0.685 0.655 0.620 0.775 0.722 0.710 0.728 0.735 );NULL
