Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
Rest;2021-01-29 11:14:09.6903;1360;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6473;7;NULL
InputWindowChange;2021-01-29 11:14:15.1696;1761;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Open;1;-2.6553;0.0000;Running;1.2004;10;0.0000;5;0.0385;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 11:14:15.4060;1780;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7217;8;NULL
Rest;2021-01-29 11:14:15.8228;1814;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6384;8;NULL
MotorImagery;2021-01-29 11:14:15.9256;1822;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6551;9;NULL
Rest;2021-01-29 11:14:16.0572;1832;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.5988;9;NULL
InputWindowChange;2021-01-29 11:14:19.1605;2083;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Closed;1;-2.6541;0.0000;Running;1.2004;10;0.0000;5;0.0385;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 11:14:19.1655;2083;981741088527cb9eaa572c25c4b9fccf;anonymous;NULL;Closed;1;-2.6541;0.0000;Running;1.2004;10;0.0000;5;0.0385;9;0.0385;0;0.0000;0;0.0000;0;0.0000;RejInput;NULL;NULL;RejInput
MotorImagery;2021-01-29 11:14:20.2893;2173;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6840;10;NULL
Rest;2021-01-29 11:14:20.3003;2174;981741088527cb9eaa572c25c4b9fccf;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6022;10;NULL
