Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
MotorImagery;2021-01-26 11:18:15.9355;2504;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7792;3;(0.787 0.775 0.789 0.779 0.723 0.763 0.784 0.823 )
Rest;2021-01-26 11:18:16.3180;2527;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6250;3;(0.751 0.735 0.717 0.625 0.816 0.789 0.770 0.748 )
MotorImagery;2021-01-26 11:18:18.2374;2640;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8591;4;(0.838 0.855 0.861 0.859 0.730 0.794 0.838 0.833 )
Rest;2021-01-26 11:18:19.2345;2699;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6940;4;(0.784 0.781 0.758 0.694 0.857 0.822 0.782 0.785 )
InputWindowChange;2021-01-26 11:18:19.3851;2708;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;3;-1.2583;0.0000;Running;3.7298;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:19.3851;2708;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;3;-1.2583;0.0000;Running;3.7298;12;0.1000;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:18:22.6453;2900;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;4;0.0000;0.0000;Running;4.1072;12;0.1000;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:18:25.2189;3052;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9291;5;(0.743 0.778 0.791 0.846 0.886 0.900 0.924 0.929 )
InputWindowChange;2021-01-26 11:18:25.2199;3052;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;4;-2.4256;0.0000;Running;4.1072;12;0.1000;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:25.2219;3052;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;4;-2.4256;0.0000;Running;4.1072;11;0.1500;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:18:26.2555;3113;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6558;5;(0.656 0.930 0.926 0.917 0.906 0.876 0.827 0.702 )
InputWindowChange;2021-01-26 11:18:29.6490;3313;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;5;0.0000;0.0000;Running;4.5719;11;0.1500;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:18:34.6627;3609;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;5;0.0123;0.0000;Running;4.5719;11;0.1500;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:34.6667;3609;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;5;0.0123;0.0000;Running;4.5719;11;0.1500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:18:36.6630;3727;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;6;0.0000;0.0000;Running;2.6827;11;0.1500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:18:38.9496;3863;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8313;6;(0.763 0.762 0.774 0.818 0.834 0.831 0.723 0.754 )
InputWindowChange;2021-01-26 11:18:39.3605;3887;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;6;-2.3026;0.0000;Running;2.6827;11;0.1500;5;0.0500;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:39.3625;3887;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;6;-2.3026;0.0000;Running;2.6827;11;0.1500;4;0.1000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL;NULL
Rest;2021-01-26 11:18:39.4423;3892;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6946;6;(0.736 0.756 0.771 0.749 0.749 0.695 0.805 0.745 )
