Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
Rest;2021-01-26 11:14:41.2830;2058;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6957;2;(0.696 0.742 0.707 0.724 0.725 0.737 0.759 0.754 )
InputWindowChange;2021-01-26 11:14:46.0165;2335;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;4;0.0000;0.0000;Running;2.3095;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:51.0154;2629;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;4;0.0004;0.0000;Running;2.3095;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:14:51.0174;2629;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;4;0.0004;0.0000;Running;2.3095;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:53.0327;2747;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;5;0.0000;0.0000;Running;1.3826;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:14:54.1646;2814;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.8908;3;(0.891 0.781 0.812 0.829 0.832 0.839 0.854 0.868 )
InputWindowChange;2021-01-26 11:14:54.1656;2814;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;5;-3.8672;0.0000;Running;1.3826;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:14:54.1666;2814;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;5;-3.8672;0.0000;Running;1.3826;17;0.1500;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:14:54.8088;2852;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6635;3;(0.845 0.784 0.720 0.663 0.926 0.904 0.898 0.884 )
MotorImagery;2021-01-26 11:14:56.0655;2926;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9042;4;(0.800 0.836 0.869 0.884 0.892 0.892 0.891 0.904 )
Rest;2021-01-26 11:14:56.6130;2958;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6980;4;(0.814 0.698 0.937 0.931 0.921 0.912 0.898 0.861 )
InputWindowChange;2021-01-26 11:15:00.0356;3160;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;6;0.0000;0.0000;Running;4.7452;17;0.1500;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:15:05.0528;3456;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;6;0.0159;0.0000;Running;4.7452;17;0.1500;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:15:05.0578;3456;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;6;0.0159;0.0000;Running;4.7452;17;0.1500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:15:07.0417;3572;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;7;0.0000;0.0000;Running;4.3843;17;0.1500;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
