Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-28 13:31:19.6388;1;15610ad5a0050bc49caf27334d5ac508;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:31:22.1575;86;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:31:22.2767;87;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 13:31:23.9553;191;15610ad5a0050bc49caf27334d5ac508;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:31:24.5088;239;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7565;1;NULL
Rest;2021-01-28 13:31:25.3767;292;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7185;1;NULL
MotorImagery;2021-01-28 13:31:31.5020;706;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7408;2;NULL
InputWindowChange;2021-01-28 13:31:32.4820;776;15610ad5a0050bc49caf27334d5ac508;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.9095;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-01-28 13:31:34.9326;954;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7125;2;NULL
MotorImagery;2021-01-28 13:31:35.2287;976;15610ad5a0050bc49caf27334d5ac508;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7214;3;NULL
InputWindowChange;2021-01-28 13:31:35.2297;976;15610ad5a0050bc49caf27334d5ac508;anonymous;NULL;Closed;0;-1.2338;0.0000;Running;2.9095;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:31:35.2317;976;15610ad5a0050bc49caf27334d5ac508;anonymous;NULL;Closed;0;-1.2338;0.0000;Running;2.9095;9;0.0500;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
